sku_id,on_hand,daily_demand,warehouse_utilization
SKU-01-0171,2972,529,0.8771
SKU-01-0172,4039,529,0.8628
SKU-01-0173,2715,512,0.7548
SKU-01-0174,5838,511,0.8613
SKU-01-0175,2312,516,0.5852
SKU-01-0176,1658,487,0.6999
SKU-01-0177,3534,511,0.8304
SKU-01-0178,5978,501,0.6478
SKU-01-0179,5546,503,0.8359
SKU-01-0180,5200,534,0.7416
SKU-01-0181,6092,553,0.8351
SKU-01-0182,5852,530,0.7266
SKU-01-0183,3628,473,0.6898
SKU-01-0184,2998,513,0.6333
SKU-01-0185,5352,538,0.6292
SKU-01-0186,4406,492,0.8356
SKU-01-0187,3309,520,0.5952
SKU-01-0188,1998,519,0.5827
SKU-01-0189,4948,509,0.617
SKU-01-0190,2987,557,0.6166
SKU-01-0191,5281,462,0.8628
SKU-01-0192,2770,536,0.7014
SKU-01-0193,2114,515,0.9263
SKU-01-0194,5282,504,0.6021
SKU-01-0195,2347,536,0.7983
SKU-01-0196,2496,541,0.7205
SKU-01-0197,4499,536,0.6993
SKU-01-0198,5675,522,0.8825
SKU-01-0199,2303,483,0.9207
SKU-02-0001,2410,416,0.8817
SKU-02-0002,4179,418,0.6231
SKU-02-0003,5380,458,0.6339
SKU-02-0004,3093,412,0.7993
SKU-02-0005,2113,492,0.6599
SKU-02-0006,1388,444,0.8292
SKU-02-0007,2067,408,0.7652
SKU-02-0008,1762,421,0.7593
SKU-02-0009,4404,484,0.8648
SKU-02-0010,1757,429,0.82
SKU-02-0011,2962,392,0.5601
SKU-02-0012,4125,446,0.5688
SKU-02-0013,3761,457,0.7786
SKU-02-0014,2078,433,0.7348
SKU-02-0015,5190,507,0.6489
SKU-02-0016,4125,437,0.7091
SKU-02-0017,4526,469,0.838
SKU-02-0018,2035,487,0.8641
SKU-02-0019,1851,450,0.7633
SKU-02-0020,5606,494,0.6964
SKU-02-0021,3296,501,0.6529
SKU-02-0022,2592,454,0.7483
SKU-02-0023,3440,465,0.6696
SKU-02-0024,3936,439,0.7644
SKU-02-0025,5023,433,0.8071
SKU-02-0026,2711,486,0.5751
SKU-02-0027,4744,419,0.5504
SKU-02-0028,1312,407,0.6307
SKU-02-0029,3934,492,0.8899
SKU-02-0030,4092,470,0.7956
SKU-02-0031,1882,476,0.6153
SKU-02-0032,2106,494,0.8883
SKU-02-0033,2993,442,0.7286
SKU-02-0034,5275,451,0.7309
SKU-02-0035,3689,441,0.9055
SKU-02-0036,4810,422,0.5726
SKU-02-0037,4300,420,0.6318
SKU-02-0038,3048,423,0.7726
SKU-02-0039,4901,487,0.6243
SKU-02-0040,1403,444,0.8082
SKU-02-0041,1649,414,0.6314
SKU-02-0042,4332,414,0.5877
SKU-02-0043,4394,432,0.6287
SKU-02-0044,2231,438,0.7106
SKU-02-0045,3857,496,0.6169
SKU-02-0046,3542,419,0.6012
SKU-02-0047,4972,460,0.8769
SKU-02-0048,3801,451,0.6718
SKU-02-0049,3316,494,0.6871
SKU-02-0050,2910,457,0.571
SKU-02-0051,2822,413,0.6858
SKU-02-0052,3662,413,0.6506
SKU-02-0053,4431,410,0.782
SKU-02-0054,3011,425,0.628
SKU-02-0055,2265,433,0.8876
SKU-02-0056,2144,418,0.9033
SKU-02-0057,4245,437,0.5879
SKU-02-0058,4564,441,0.5908
SKU-02-0059,1654,419,0.5938
SKU-02-0060,1620,450,0.7854
SKU-02-0061,3515,421,0.5963
SKU-02-0062,1959,454,0.8739
SKU-02-0063,4346,417,0.8366
SKU-02-0064,2410,416,0.8615
SKU-02-0065,1808,421,0.7499
SKU-02-0066,5340,473,0.9287
SKU-02-0067,1926,429,0.5668
SKU-02-0068,2475,445,0.7025
SKU-02-0069,1884,430,0.6731
SKU-02-0070,1943,481,0.9105
SKU-02-0071,1602,502,0.7692
SKU-02-0072,1466,419,0.8564
SKU-02-0073,1856,406,0.6147
SKU-02-0074,1521,437,0.9219
SKU-02-0075,3328,400,0.7395
SKU-02-0076,3979,436,0.7376
SKU-02-0077,2872,439,0.9189
SKU-02-0078,2110,360,0.6947
SKU-02-0079,3831,508,0.7011
SKU-02-0080,4916,452,0.7722
SKU-02-0081,4818,452,0.5987
SKU-02-0082,1719,507,0.672
SKU-02-0083,2006,433,0.6234
SKU-02-0084,2216,432,0.5892
SKU-02-0085,2586,493,0.8791
SKU-02-0086,3493,429,0.7739
SKU-02-0087,3130,464,0.6863
SKU-02-0088,1543,448,0.7053
SKU-02-0089,2730,429,0.714
SKU-02-0090,3278,425,0.7906
SKU-02-0091,1625,415,0.9022
SKU-02-0092,4862,463,0.9045
SKU-02-0093,1384,399,0.6988
SKU-02-0094,5118,452,0.6751
SKU-02-0095,1724,443,0.7214
SKU-02-0096,4714,445,0.7658
SKU-02-0097,4806,432,0.7255
SKU-02-0098,4939,418,0.8003
SKU-02-0099,4527,443,0.7607
SKU-02-0100,4467,446,0.6719
SKU-02-0101,3653,416,0.6814
SKU-02-0102,4365,436,0.6939
SKU-02-0103,2004,476,0.586
SKU-02-0104,3505,448,0.6131
SKU-02-0105,3372,442,0.8248
SKU-02-0106,4930,460,0.6979
SKU-02-0107,3009,420,0.6315
SKU-02-0108,3201,495,0.7638
SKU-02-0109,3678,420,0.8371
SKU-02-0110,2192,406,0.6478
SKU-02-0111,1814,426,0.8642
SKU-02-0112,3556,487,0.9025
SKU-02-0113,2849,422,0.777
SKU-02-0114,2348,461,0.8042
SKU-02-0115,2769,439,0.57
SKU-02-0116,2620,416,0.9093
SKU-02-0117,2450,412,0.6991
SKU-02-0118,2855,445,0.9011
SKU-02-0119,3944,430,0.77
SKU-02-0120,2325,410,0.5518
SKU-02-0121,5101,442,0.5646
SKU-02-0122,4780,425,0.8086
SKU-02-0123,3173,433,0.7638
SKU-02-0124,2728,458,0.5601
SKU-02-0125,3393,434,0.8325
SKU-02-0126,4733,445,0.8738
SKU-02-0127,3674,414,0.7386
SKU-02-0128,4413,431,0.727
SKU-02-0129,3648,468,0.5521
SKU-02-0130,3896,448,0.8489
SKU-02-0131,2377,425,0.6757
SKU-02-0132,4221,439,0.8839
SKU-02-0133,2073,430,0.6918
SKU-02-0134,3970,429,0.7647
SKU-02-0135,4857,452,0.6527
SKU-02-0136,1776,424,0.611
SKU-02-0137,3881,455,0.8445
SKU-02-0138,1832,475,0.7387
SKU-02-0139,4823,506,0.7539
SKU-02-0140,1700,452,0.9169
SKU-02-0141,5232,458,0.9162
SKU-02-0142,2093,494,0.8751
SKU-02-0143,4675,402,0.6213
SKU-02-0144,4645,455,0.7758
SKU-02-0145,3838,460,0.8837
SKU-02-0146,4751,473,0.6923
SKU-02-0147,4509,444,0.5884
SKU-02-0148,5504,478,0.8582
SKU-02-0149,2234,423,0.7331
SKU-02-0150,3557,428,0.7645
SKU-02-0151,1604,416,0.9232
SKU-02-0152,3845,450,0.7807
SKU-02-0153,2026,446,0.7115
SKU-02-0154,3864,478,0.6906
SKU-02-0155,3725,457,0.7087
SKU-02-0156,3669,510,0.595
SKU-02-0157,3174,412,0.852
SKU-02-0158,4503,456,0.8683
SKU-02-0159,5280,518,0.6581
SKU-02-0160,3522,474,0.6654
SKU-02-0161,4030,480,0.8822
SKU-02-0162,4325,380,0.5591
SKU-02-0163,1656,406,0.7478
SKU-02-0164,1776,438,0.7262
SKU-02-0165,1641,433,0.8122
SKU-02-0166,3872,434,0.6121
SKU-02-0167,3140,464,0.804
SKU-02-0168,4426,444,0.6932
SKU-02-0169,4186,463,0.7851
SKU-02-0170,2665,444,0.5652
SKU-02-0171,4357,393,0.7255
SKU-02-0172,4636,470,0.7485
SKU-02-0173,2255,415,0.6314
SKU-02-0174,2731,435,0.6031
SKU-02-0175,2740,470,0.6216
SKU-02-0176,1926,436,0.6808
SKU-02-0177,1710,395,0.5868
SKU-02-0178,4890,428,0.91
SKU-02-0179,3339,481,0.7039
SKU-02-0180,2941,456,0.8574
SKU-02-0181,3990,417,0.9203
SKU-02-0182,3326,417,0.5807
SKU-02-0183,4856,425,0.7976
SKU-02-0184,4490,448,0.8811
SKU-02-0185,3343,457,0.791
SKU-02-0186,2842,445,0.713
SKU-02-0187,5512,464,0.7138
SKU-02-0188,3557,376,0.5636
SKU-02-0189,5087,440,0.7531
SKU-02-0190,1850,455,0.9275
SKU-02-0191,4315,405,0.9143
SKU-02-0192,4105,470,0.5654
SKU-02-0193,1684,411,0.8182
SKU-02-0194,3558,429,0.6647
SKU-02-0195,3890,424,0.8931
SKU-02-0196,1431,460,0.5671
SKU-02-0197,2949,416,0.9056
SKU-02-0198,4766,457,0.8682
SKU-02-0199,2320,410,0.5947
SKU-03-0001,3841,539,0.5727
SKU-03-0002,4140,593,0.8672
SKU-03-0003,3024,529,0.6092
SKU-03-0004,6117,543,0.7533
SKU-03-0005,6079,606,0.898
SKU-03-0006,2413,604,0.7656
SKU-03-0007,6801,568,0.7009
SKU-03-0008,5598,513,0.7191
SKU-03-0009,3061,551,0.574
SKU-03-0010,5350,508,0.9181
SKU-03-0011,2335,590,0.668
SKU-03-0012,6224,519,0.622
SKU-03-0013,4550,506,0.6587
SKU-03-0014,5160,583,0.9165
SKU-03-0015,2021,530,0.5858
SKU-03-0016,5847,528,0.8796
SKU-03-0017,1924,590,0.819
SKU-03-0018,2816,545,0.8654
SKU-03-0019,2268,529,0.9208
SKU-03-0020,5455,546,0.87
SKU-03-0021,2689,562,0.9085
SKU-03-0022,6415,573,0.5982
SKU-03-0023,5148,578,0.8524
SKU-03-0024,1899,571,0.7574
SKU-03-0025,1671,548,0.7565
SKU-03-0026,1660,479,0.8916
SKU-03-0027,4675,553,0.9193
SKU-03-0028,5025,492,0.8178
SKU-03-0029,2718,528,0.7335
SKU-03-0030,5684,534,0.7234
SKU-03-0031,2056,585,0.6968
SKU-03-0032,4778,468,0.6874
SKU-03-0033,6958,613,0.6988
SKU-03-0034,5959,599,0.5841
SKU-03-0035,5180,558,0.5794
SKU-03-0036,5229,496,0.8464
SKU-03-0037,2087,621,0.7195
SKU-03-0038,2533,526,0.9037
SKU-03-0039,2087,506,0.7826
SKU-03-0040,4932,654,0.5634
SKU-03-0041,5009,516,0.6099
SKU-03-0042,5003,577,0.6282
SKU-03-0043,5693,534,0.9208
SKU-03-0044,2563,583,0.6331
SKU-03-0045,5642,587,0.746
SKU-03-0046,2369,500,0.9057
SKU-03-0047,2849,524,0.9213
SKU-03-0048,4976,530,0.6398
SKU-03-0049,6987,591,0.5687
SKU-03-0050,4788,563,0.6084
SKU-03-0051,1826,523,0.5741
SKU-03-0052,4966,581,0.6241
SKU-03-0053,2083,616,0.7661
SKU-03-0054,5205,475,0.8967
SKU-03-0055,5697,607,0.7541
SKU-03-0056,2580,566,0.7879
SKU-03-0057,2173,568,0.6267
SKU-03-0058,2386,513,0.8542
SKU-03-0059,6608,559,0.7848
SKU-03-0060,3763,528,0.8784
SKU-03-0061,5270,524,0.9106
SKU-03-0062,4914,563,0.6822
SKU-03-0063,3962,486,0.5844
SKU-03-0064,2674,621,0.6359
SKU-03-0065,5677,493,0.7164
SKU-03-0066,3062,536,0.9094
SKU-03-0067,4839,590,0.6938
SKU-03-0068,5188,558,0.8429
SKU-03-0069,4687,530,0.7554
SKU-03-0070,6375,556,0.6195
SKU-03-0071,2532,584,0.6719
SKU-03-0072,4068,537,0.7982
SKU-03-0073,3710,559,0.8057
SKU-03-0074,3765,518,0.7152
SKU-03-0075,2407,591,0.6369
SKU-03-0076,2213,526,0.8243
SKU-03-0077,2933,533,0.6142
SKU-03-0078,3572,622,0.9059
SKU-03-0079,3700,540,0.6214
SKU-03-0080,4598,541,0.5908
SKU-03-0081,4931,566,0.7391
SKU-03-0082,3420,510,0.7474
SKU-03-0083,3520,527,0.7431
SKU-03-0084,2663,537,0.7159
SKU-03-0085,4546,548,0.928
SKU-03-0086,3307,565,0.7348
SKU-03-0087,1582,476,0.7316
SKU-03-0088,3782,559,0.7103
SKU-03-0089,3445,474,0.5754
SKU-03-0090,2500,497,0.7753
SKU-03-0091,4533,556,0.6366
SKU-03-0092,4329,535,0.7923
SKU-03-0093,5274,566,0.5693
SKU-03-0094,5060,573,0.9229
SKU-03-0095,5128,578,0.7282
SKU-03-0096,3215,550,0.8908
SKU-03-0097,5447,540,0.7307
SKU-03-0098,3868,487,0.5729
SKU-03-0099,3634,528,0.8624
SKU-03-0100,4930,571,0.7963
SKU-03-0101,3342,535,0.8471
SKU-03-0102,4333,569,0.7127
SKU-03-0103,4844,503,0.7924
SKU-03-0104,5533,504,0.8754
SKU-03-0105,6288,557,0.7898
SKU-03-0106,3940,523,0.6821
SKU-03-0107,4003,521,0.8018
SKU-03-0108,5834,572,0.8053
SKU-03-0109,3072,527,0.915
SKU-03-0110,6069,576,0.6909
SKU-03-0111,4312,579,0.7115
SKU-03-0112,2042,505,0.8586
SKU-03-0113,2069,567,0.7422
SKU-03-0114,5955,563,0.8299
SKU-03-0115,1813,518,0.7247
SKU-03-0116,3404,616,0.6319
SKU-03-0117,2950,491,0.8332
SKU-03-0118,2561,562,0.5998
SKU-03-0119,3419,587,0.6255
SKU-03-0120,5007,517,0.7882
SKU-03-0121,1585,506,0.834
SKU-03-0122,5275,505,0.89
SKU-03-0123,6607,617,0.6536
SKU-03-0124,3639,573,0.5921
SKU-03-0125,2331,532,0.9133
SKU-03-0126,4935,587,0.6087
SKU-03-0127,2275,558,0.6251
SKU-03-0128,3601,573,0.6607
SKU-03-0129,6441,554,0.7512
SKU-03-0130,7008,586,0.8855
SKU-03-0131,5114,514,0.839
SKU-03-0132,3114,537,0.8191
SKU-03-0133,4815,524,0.6166
SKU-03-0134,4936,528,0.6859
SKU-03-0135,3596,554,0.7318
SKU-03-0136,5252,599,0.606
SKU-03-0137,1691,546,0.6539
SKU-03-0138,2822,578,0.6672
SKU-03-0139,3917,507,0.5984
SKU-03-0140,2729,610,0.7591
SKU-03-0141,2283,508,0.8179
SKU-03-0142,5853,556,0.5766
SKU-03-0143,6713,564,0.7328
SKU-03-0144,4130,516,0.8472
SKU-03-0145,5234,496,0.8342
SKU-03-0146,6671,560,0.8597
SKU-03-0147,2304,539,0.7203
SKU-03-0148,3672,522,0.8618
SKU-03-0149,3809,583,0.6415
SKU-03-0150,2169,583,0.6871
SKU-03-0151,5634,575,0.617
SKU-03-0152,4156,602,0.7276
SKU-03-0153,4118,570,0.699
SKU-03-0154,2405,552,0.6416
SKU-03-0155,2536,548,0.8357
SKU-03-0156,6821,611,0.6693
SKU-03-0157,1772,521,0.6537
SKU-03-0158,2767,543,0.5997
SKU-03-0159,3113,553,0.7168
SKU-03-0160,4180,564,0.6651
SKU-03-0161,4859,587,0.6903
SKU-03-0162,4129,555,0.6397
SKU-03-0163,1867,497,0.84
SKU-03-0164,2467,475,0.9034
SKU-03-0165,5158,487,0.7392
SKU-03-0166,4824,552,0.7943
SKU-03-0167,5005,566,0.8795
SKU-03-0168,5085,563,0.9296
SKU-03-0169,6166,625,0.7831
SKU-03-0170,1843,523,0.8881
SKU-03-0171,3440,546,0.8953
SKU-03-0172,4297,547,0.8508
SKU-03-0173,3005,497,0.7252
SKU-03-0174,5756,543,0.5808
SKU-03-0175,3694,503,0.556
SKU-03-0176,5336,538,0.7313
SKU-03-0177,5473,513,0.7378
SKU-03-0178,4247,563,0.7048
SKU-03-0179,6354,568,0.7659
SKU-03-0180,4349,525,0.7598
SKU-03-0181,6381,599,0.8679
SKU-03-0182,3202,528,0.5913
SKU-03-0183,4284,572,0.6356
SKU-03-0184,4273,549,0.8513
SKU-03-0185,2146,544,0.8722
SKU-03-0186,3557,540,0.928
SKU-03-0187,5988,532,0.8817
SKU-03-0188,4686,540,0.8882
SKU-03-0189,2575,560,0.6695
SKU-03-0190,3122,516,0.7026
SKU-03-0191,2513,532,0.6519
SKU-03-0192,1750,543,0.7804
SKU-03-0193,6377,562,0.9067
SKU-03-0194,3714,528,0.681
SKU-03-0195,3265,566,0.7617
SKU-03-0196,4772,569,0.6626
SKU-03-0197,1548,505,0.6145
SKU-03-0198,3147,572,0.6242
SKU-03-0199,5102,547,0.572
SKU-04-0001,2019,232,0.9107
SKU-04-0002,2462,208,0.7031
SKU-04-0003,1365,159,0.867
SKU-04-0004,1460,200,0.8089
SKU-04-0005,2217,225,0.6229
SKU-04-0006,1959,176,0.6167
SKU-04-0007,2153,227,0.8586
SKU-04-0008,2532,217,0.6506
SKU-04-0009,1977,197,0.897
SKU-04-0010,2106,195,0.6032
SKU-04-0011,813,202,0.8075
SKU-04-0012,2062,215,0.8595
SKU-04-0013,1462,210,0.6394
SKU-04-0014,1739,218,0.655
SKU-04-0015,2115,238,0.9165
SKU-04-0016,2780,237,0.6505
SKU-04-0017,2503,211,0.7134
SKU-04-0018,1309,234,0.7144
SKU-04-0019,1940,202,0.6462
SKU-04-0020,1599,164,0.8448
SKU-04-0021,1303,213,0.8433
SKU-04-0022,889,216,0.6938
SKU-04-0023,670,199,0.8673
SKU-04-0024,2079,208,0.631
SKU-04-0025,1348,182,0.5516
SKU-04-0026,2421,204,0.767
SKU-04-0027,1732,241,0.9277
SKU-04-0028,2301,195,0.5647
SKU-04-0029,1334,199,0.629
SKU-04-0030,2221,219,0.7472
SKU-04-0031,839,223,0.8578
SKU-04-0032,1344,168,0.5838
SKU-04-0033,1758,172,0.7002
SKU-04-0034,2049,181,0.8339
SKU-04-0035,2039,196,0.6912
SKU-04-0036,730,219,0.6218
SKU-04-0037,1487,234,0.6243
SKU-04-0038,770,224,0.7058
SKU-04-0039,880,221,0.7322
SKU-04-0040,1580,174,0.8775
SKU-04-0041,1677,178,0.7941
SKU-04-0042,1833,184,0.8124
SKU-04-0043,2125,197,0.9235
SKU-04-0044,1912,198,0.7065
SKU-04-0045,2583,253,0.7033
SKU-04-0046,626,182,0.9009
SKU-04-0047,1191,233,0.6434
SKU-04-0048,1711,199,0.8273
SKU-04-0049,2188,204,0.8367
SKU-04-0050,611,201,0.5872
SKU-04-0051,1725,226,0.7279
SKU-04-0052,2010,221,0.6262
SKU-04-0053,804,246,0.6204
SKU-04-0054,1594,241,0.7263
SKU-04-0055,2046,185,0.66
SKU-04-0056,1863,206,0.8525
SKU-04-0057,997,194,0.8949
SKU-04-0058,2135,200,0.855
SKU-04-0059,1116,182,0.6511
SKU-04-0060,2553,239,0.6542
SKU-04-0061,1275,224,0.6468
SKU-04-0062,1654,199,0.6013
SKU-04-0063,1387,211,0.9086
SKU-04-0064,1013,185,0.7028
SKU-04-0065,2207,201,0.6354
SKU-04-0066,905,193,0.8717
SKU-04-0067,794,211,0.7017
SKU-04-0068,1155,190,0.5633
SKU-04-0069,1854,196,0.6115
SKU-04-0070,2300,224,0.7929
SKU-04-0071,2194,183,0.8475
SKU-04-0072,1349,238,0.6302
SKU-04-0073,1074,161,0.8986
SKU-04-0074,842,199,0.8734
SKU-04-0075,1618,198,0.8724
SKU-04-0076,2432,203,0.6365
SKU-04-0077,1601,172,0.5692
SKU-04-0078,1630,195,0.8796
SKU-04-0079,1293,198,0.6662
SKU-04-0080,2495,222,0.7852
SKU-04-0081,1517,203,0.8388
SKU-04-0082,703,167,0.5988
SKU-04-0083,1308,208,0.8467
SKU-04-0084,800,222,0.9066
SKU-04-0085,1060,220,0.8268
SKU-04-0086,534,169,0.7177
SKU-04-0087,1458,206,0.8831
SKU-04-0088,1908,219,0.7504
SKU-04-0089,1169,192,0.833
SKU-04-0090,1560,230,0.8618
SKU-04-0091,2350,202,0.8348
SKU-04-0092,1719,176,0.6594
SKU-04-0093,1330,169,0.5948
SKU-04-0094,1251,225,0.6406
SKU-04-0095,1727,156,0.7411
SKU-04-0096,1044,204,0.742
SKU-04-0097,1097,185,0.7714
SKU-04-0098,2628,235,0.7001
SKU-04-0099,1646,212,0.849
SKU-04-0100,1946,201,0.897
SKU-04-0101,1480,178,0.6438
SKU-04-0102,1892,213,0.8299
SKU-04-0103,1122,197,0.8076
SKU-04-0104,1231,238,0.7488
SKU-04-0105,1210,205,0.6216
SKU-04-0106,902,205,0.8522
SKU-04-0107,2022,186,0.915
SKU-04-0108,1126,203,0.8243
SKU-04-0109,1578,196,0.8988
SKU-04-0110,1864,184,0.924
SKU-04-0111,1820,181,0.6838
SKU-04-0112,1278,184,0.7925
SKU-04-0113,1763,242,0.7301
SKU-04-0114,2163,181,0.9249
SKU-04-0115,1606,177,0.5856
SKU-04-0116,2211,214,0.7067
SKU-04-0117,2525,227,0.8827
SKU-04-0118,2068,205,0.6579
SKU-04-0119,1050,225,0.8494
SKU-04-0120,1886,234,0.6955
SKU-04-0121,689,176,0.9224
SKU-04-0122,1740,196,0.8857
SKU-04-0123,2737,236,0.6645
SKU-04-0124,1477,194,0.8427
SKU-04-0125,1228,178,0.678
SKU-04-0126,768,231,0.7804
SKU-04-0127,2688,231,0.8002
SKU-04-0128,781,199,0.8652
SKU-04-0129,603,179,0.5593
SKU-04-0130,923,177,0.6337
SKU-04-0131,661,184,0.8205
SKU-04-0132,1277,180,0.7641
SKU-04-0133,1193,156,0.7383
SKU-04-0134,1128,194,0.571
SKU-04-0135,830,240,0.6823
SKU-04-0136,861,215,0.8787
SKU-04-0137,1221,189,0.5617
SKU-04-0138,812,229,0.7006
SKU-04-0139,1968,212,0.9092
SKU-04-0140,1016,209,0.5693
SKU-04-0141,1144,200,0.8349
SKU-04-0142,1486,227,0.6479
