shipment_id,order_id,region_id,promised_hours,planned_distance_km,planned_cost
S000000198,O000000198,10,24,24.8,6676.0
S000000199,O000000199,10,24,7.51,3935.0
S000000200,O000000200,10,24,10.41,4695.0
S000000201,O000000201,10,24,22.32,5742.0
S000000202,O000000202,10,24,27.28,6720.0
S000000203,O000000203,10,24,15.27,5130.0
S000000204,O000000204,11,12,6.17,3898.0
S000000205,O000000205,11,12,2.86,3532.0
S000000206,O000000206,11,24,8.36,4034.0
S000000207,O000000207,11,12,5.86,4071.0
S000000208,O000000208,11,24,19.78,5277.0
S000000209,O000000209,11,12,5.61,3841.0
S000000210,O000000210,11,24,15.41,4707.0
S000000211,O000000211,11,12,20.2,5109.0
S000000212,O000000212,11,24,17.32,4783.0
S000000213,O000000213,11,24,7.59,4071.0
S000000214,O000000214,11,24,23.01,5316.0
S000000215,O000000215,11,24,20.74,5661.0
S000000216,O000000216,11,24,21.34,5977.0
S000000217,O000000217,11,24,5.84,3818.0
S000000218,O000000218,12,36,5.66,3734.0
S000000219,O000000219,12,24,26.15,6443.0
S000000220,O000000220,12,24,12.64,4904.0
S000000221,O000000221,12,24,10.17,4458.0
S000000222,O000000222,12,36,14.96,4586.0
S000000223,O000000223,12,12,19.4,5914.0
S000000224,O000000224,12,36,26.87,6256.0
S000000225,O000000225,12,24,9.8,4124.0
S000000226,O000000226,12,36,26.08,6814.0
S000000227,O000000227,12,24,3.13,3649.0
S000000228,O000000228,12,12,16.66,5364.0
S000000229,O000000229,12,12,18.67,5974.0
S000000230,O000000230,12,12,5.2,3807.0
S000000231,O000000231,12,12,6.08,4085.0
S000000232,O000000232,12,24,13.19,4549.0
S000000233,O000000233,12,12,27.14,6701.0
S000000234,O000000234,12,24,17.7,5160.0
S000000235,O000000235,12,24,26.29,5575.0
S000000236,O000000236,13,24,23.01,5871.0
S000000237,O000000237,13,24,14.42,4895.0
S000000238,O000000238,13,36,22.51,5228.0
S000000239,O000000239,13,24,2.95,3613.0
S000000240,O000000240,13,24,5.28,3883.0
S000000241,O000000241,13,24,23.65,5332.0
S000000242,O000000242,13,24,22.82,5349.0
S000000243,O000000243,13,12,8.43,3968.0
S000000244,O000000244,13,24,16.03,4770.0
S000000245,O000000245,13,24,17.95,5013.0
S000000246,O000000246,13,12,24.63,5823.0
S000000247,O000000247,13,24,17.88,5129.0
S000000248,O000000248,13,12,13.02,4744.0
S000000249,O000000249,13,36,12.04,4634.0
S000000250,O000000250,13,24,13.36,5151.0
S000000251,O000000251,13,36,19.12,5097.0
S000000252,O000000252,13,36,24.62,6560.0
S000000253,O000000253,13,24,14.07,4984.0
S000000254,O000000254,13,36,8.82,4308.0
S000000255,O000000255,13,36,8.53,4449.0
S000000256,O000000256,14,24,21.52,6407.0
S000000257,O000000257,14,12,23.32,6491.0
S000000258,O000000258,14,24,5.18,3849.0
S000000259,O000000259,14,36,4.2,3651.0
S000000260,O000000260,14,24,17.66,5707.0
S000000261,O000000261,14,24,6.23,3821.0
S000000262,O000000262,14,36,23.53,5789.0
S000000263,O000000263,14,24,10.41,4699.0
S000000264,O000000264,14,24,6.17,3761.0
S000000265,O000000265,14,12,25.98,5730.0
S000000266,O000000266,14,24,6.72,3896.0
S000000267,O000000267,14,12,9.76,4645.0
S000000268,O000000268,14,24,6.42,4027.0
S000000269,O000000269,14,24,5.44,3906.0
S000000270,O000000270,15,24,3.04,3625.0
S000000271,O000000271,15,24,3.91,3768.0
S000000272,O000000272,15,24,6.95,4014.0
S000000273,O000000273,15,24,3.86,3617.0
S000000274,O000000274,15,12,17.57,4801.0
S000000275,O000000275,15,12,19.86,5245.0
S000000276,O000000276,15,24,12.54,4355.0
S000000277,O000000277,15,24,10.61,4670.0
S000000278,O000000278,15,24,15.37,4671.0
S000000279,O000000279,15,24,24.81,6815.0
S000000280,O000000280,15,24,24.2,6059.0
S000000281,O000000281,15,24,3.61,3592.0
S000000282,O000000282,15,12,7.13,3932.0
S000000283,O000000283,15,12,8.54,4433.0
S000000284,O000000284,15,24,8.86,4171.0
S000000285,O000000285,15,12,17.07,4844.0
S000000286,O000000286,15,24,13.11,4444.0
S000000287,O000000287,15,24,3.76,3685.0
S000000288,O000000288,15,24,12.03,4798.0
S000000289,O000000289,15,24,15.86,4674.0
S000000290,O000000290,15,12,5.09,3876.0
S000000291,O000000291,15,12,23.75,6127.0
S000000292,O000000292,15,24,3.83,3688.0
S000000293,O000000293,16,24,26.08,6056.0
S000000294,O000000294,16,24,5.03,3852.0
S000000295,O000000295,16,24,24.01,5635.0
S000000296,O000000296,16,24,25.52,5834.0
S000000297,O000000297,16,12,27.48,6514.0
S000000298,O000000298,16,12,22.95,6263.0
S000000299,O000000299,16,24,22.38,5427.0
S000000300,O000000300,16,24,18.88,5683.0
S000000301,O000000301,16,12,22.36,5974.0
S000000302,O000000302,16,24,5.93,3796.0
S000000303,O000000303,16,12,16.17,5469.0
S000000304,O000000304,16,24,15.61,4821.0
S000000305,O000000305,16,24,24.37,6098.0
S000000306,O000000306,16,12,14.3,4944.0
S000000307,O000000307,17,12,12.32,4536.0
S000000308,O000000308,17,24,18.81,5892.0
S000000309,O000000309,17,12,9.29,4057.0
S000000310,O000000310,17,24,6.06,3808.0
S000000311,O000000311,17,12,14.69,5347.0
S000000312,O000000312,17,12,13.13,4986.0
S000000313,O000000313,17,12,8.43,4199.0
S000000314,O000000314,17,24,11.87,4752.0
S000000315,O000000315,17,12,11.84,4688.0
S000000316,O000000316,17,24,10.85,4199.0
S000000317,O000000317,17,24,12.18,4658.0
S000000318,O000000318,17,24,19.99,5421.0
S000000319,O000000319,17,36,10.07,4337.0
S000000320,O000000320,17,24,26.7,6562.0
S000000321,O000000321,17,24,25.87,5821.0
S000000322,O000000322,17,24,14.76,4784.0
S000000323,O000000323,17,24,10.87,4268.0
S000000324,O000000324,17,24,16.15,4752.0
S000000325,O000000325,18,24,24.14,6379.0
S000000326,O000000326,18,12,19.14,5307.0
S000000327,O000000327,18,24,23.01,5506.0
S000000328,O000000328,18,24,16.08,5008.0
S000000329,O000000329,18,24,18.64,5543.0
S000000330,O000000330,18,36,9.85,4276.0
S000000331,O000000331,18,12,21.24,5640.0
S000000332,O000000332,18,24,7.66,4277.0
S000000333,O000000333,18,24,20.22,6137.0
S000000334,O000000334,18,24,24.45,6546.0
S000000335,O000000335,18,24,5.87,3934.0
S000000336,O000000336,18,24,18.17,5214.0
S000000337,O000000337,18,24,4.92,3920.0
S000000338,O000000338,18,24,21.01,6209.0
S000000339,O000000339,18,24,4.65,3809.0
S000000340,O000000340,18,24,26.37,6324.0
S000000341,O000000341,18,24,6.0,3792.0
S000000342,O000000342,18,24,26.95,6073.0
S000000343,O000000343,18,24,22.92,5435.0
S000000344,O000000344,18,12,17.64,4799.0
S000000345,O000000345,18,12,22.46,5462.0
S000000346,O000000346,18,24,22.78,5613.0
S000000347,O000000347,18,12,26.62,5732.0
S000000348,O000000348,18,24,8.96,4091.0
S000000349,O000000349,18,36,17.55,5522.0
S000000350,O000000350,18,12,4.92,3835.0
S000000351,O000000351,18,24,18.21,5504.0
S000000352,O000000352,18,12,6.87,4046.0
S000000353,O000000353,18,24,16.91,4967.0
S000000354,O000000354,18,24,17.1,4925.0
S000000355,O000000355,18,24,14.38,4618.0
S000000356,O000000356,18,24,15.83,5186.0
S000000357,O000000357,18,12,21.98,5341.0
S000000358,O000000358,18,24,22.88,6042.0
S000000359,O000000359,18,12,15.05,5150.0
S000000360,O000000360,18,24,17.79,5324.0
S000000361,O000000361,18,12,26.25,5748.0
S000000362,O000000362,18,12,5.55,3705.0
S000000363,O000000363,18,24,5.49,3973.0
S000000364,O000000364,18,12,4.74,3835.0
S000000365,O000000365,18,24,19.28,5852.0
S000000366,O000000366,18,24,13.17,4588.0
S000000367,O000000367,18,24,22.25,6039.0
S000000368,O000000368,19,12,19.62,5409.0
S000000369,O000000369,19,24,11.01,4508.0
S000000370,O000000370,19,12,25.41,6249.0
S000000371,O000000371,19,24,21.94,5737.0
S000000372,O000000372,19,36,9.4,4182.0
S000000373,O000000373,19,24,11.79,4462.0
S000000374,O000000374,19,24,10.52,4228.0
S000000375,O000000375,19,24,6.52,4001.0
S000000376,O000000376,19,24,6.27,4133.0
S000000377,O000000377,19,12,26.37,6230.0
S000000378,O000000378,19,12,13.67,5033.0
S000000379,O000000379,19,24,12.27,4491.0
S000000380,O000000380,19,24,21.11,6296.0
S000000381,O000000381,19,24,16.6,5053.0
S000000382,O000000382,19,24,26.37,6113.0
S000000383,O000000383,19,24,22.4,5600.0
S000000384,O000000384,19,24,14.72,4756.0
S000000385,O000000385,19,24,12.1,4404.0
S000000386,O000000386,19,24,27.66,7268.0
S000000387,O000000387,19,24,20.8,5578.0
S000000388,O000000388,19,12,26.76,6881.0
S000000389,O000000389,20,24,5.52,3955.0
S000000390,O000000390,20,12,24.19,5804.0
S000000391,O000000391,20,24,18.75,5088.0
S000000392,O000000392,20,12,5.61,3723.0
S000000393,O000000393,20,24,17.5,5674.0
S000000394,O000000394,20,24,20.0,5745.0
S000000395,O000000395,20,12,2.81,3556.0
S000000396,O000000396,20,12,14.09,4595.0
S000000397,O000000397,20,24,23.55,5499.0
S000000398,O000000398,20,36,10.03,4561.0
S000000399,O000000399,20,24,14.19,4936.0
S000000400,O000000400,20,24,13.78,4954.0
S000000401,O000000401,20,24,10.2,4386.0
S000000402,O000000402,20,12,25.92,6788.0
S000000403,O000000403,20,24,22.42,6095.0
S000000404,O000000404,20,12,5.32,3897.0
S000000405,O000000405,20,24,27.92,6960.0
S000000406,O000000406,20,24,24.92,6526.0
S000000407,O000000407,21,24,9.74,4155.0
S000000408,O000000408,21,24,23.84,6768.0
S000000409,O000000409,21,24,5.21,3740.0
S000000410,O000000410,21,36,27.98,6977.0
S000000411,O000000411,21,24,19.47,5559.0
S000000412,O000000412,21,12,19.08,5588.0
S000000413,O000000413,21,36,4.81,3816.0
S000000414,O000000414,21,24,25.37,5845.0
S000000415,O000000415,21,24,3.24,3676.0
S000000416,O000000416,21,24,8.64,4449.0
S000000417,O000000417,22,12,6.15,4115.0
S000000418,O000000418,22,24,22.31,5916.0
S000000419,O000000419,22,24,7.55,4324.0
S000000420,O000000420,22,36,25.72,6383.0
S000000421,O000000421,22,36,19.23,5011.0
S000000422,O000000422,22,24,3.42,3665.0
S000000423,O000000423,22,36,2.64,3557.0
S000000424,O000000424,22,24,3.82,3667.0
S000000425,O000000425,22,12,17.95,5171.0
S000000426,O000000426,22,24,22.94,6196.0
S000000427,O000000427,22,24,8.58,4327.0
S000000428,O000000428,22,24,24.16,5646.0
S000000429,O000000429,22,24,3.96,3757.0
S000000430,O000000430,22,12,22.92,5921.0
S000000431,O000000431,22,24,26.16,6090.0
S000000432,O000000432,22,24,22.19,5436.0
S000000433,O000000433,22,36,20.3,5654.0
S000000434,O000000434,22,12,23.87,6721.0
S000000435,O000000435,22,12,3.52,3568.0
S000000436,O000000436,22,36,7.65,4037.0
S000000437,O000000437,23,12,5.69,3829.0
S000000438,O000000438,23,24,15.37,5363.0
S000000439,O000000439,23,24,21.5,6308.0
S000000440,O000000440,23,24,18.57,5390.0
S000000441,O000000441,23,24,24.2,6249.0
S000000442,O000000442,23,24,6.46,3878.0
S000000443,O000000443,24,24,21.23,6200.0
S000000444,O000000444,24,24,7.42,4174.0
S000000445,O000000445,24,24,9.4,4466.0
S000000446,O000000446,24,24,20.6,5541.0
S000000447,O000000447,24,12,27.5,7282.0
S000000448,O000000448,25,24,18.09,5341.0
S000000449,O000000449,25,24,3.89,3715.0
S000000450,O000000450,25,12,18.22,5018.0
S000000451,O000000451,25,24,3.58,3690.0
S000000452,O000000452,25,12,25.05,5520.0
S000000453,O000000453,25,12,20.59,6106.0
S000000454,O000000454,25,24,6.91,3928.0
S000000455,O000000455,25,24,4.84,3646.0
S000000456,O000000456,25,24,7.18,4212.0
S000000457,O000000457,25,24,27.49,7175.0
S000000458,O000000458,25,24,14.19,5154.0
S000000459,O000000459,25,24,22.49,6382.0
S000000460,O000000460,25,24,18.73,5738.0
S000000461,O000000461,25,36,17.1,5185.0
S000000462,O000000462,1,24,6.2,4123.0
S000000463,O000000463,1,24,26.62,6930.0
S000000464,O000000464,1,12,10.18,4275.0
S000000465,O000000465,1,12,17.24,4773.0
S000000466,O000000466,1,24,20.34,5506.0
S000000467,O000000467,1,24,19.06,5742.0
S000000468,O000000468,1,12,26.49,6632.0
S000000469,O000000469,1,24,6.29,3831.0
S000000470,O000000470,1,24,15.46,4745.0
S000000471,O000000471,1,24,12.8,5119.0
S000000472,O000000472,1,12,14.59,4594.0
S000000473,O000000473,1,12,5.54,3703.0
S000000474,O000000474,1,24,5.92,3926.0
S000000475,O000000475,1,12,9.59,4189.0
S000000476,O000000476,1,24,10.27,4680.0
S000000477,O000000477,1,24,13.41,5045.0
S000000478,O000000478,1,12,18.08,5576.0
S000000479,O000000479,1,24,18.68,4908.0
S000000480,O000000480,1,36,13.0,4629.0
S000000481,O000000481,1,24,12.92,4958.0
S000000482,O000000482,1,24,8.05,4076.0
S000000483,O000000483,1,12,17.5,5409.0
S000000484,O000000484,1,24,10.58,4193.0
S000000485,O000000485,1,36,3.42,3636.0
S000000486,O000000486,1,12,13.17,4878.0
S000000487,O000000487,1,24,14.59,4980.0
S000000488,O000000488,1,24,8.25,4196.0
S000000489,O000000489,1,12,17.1,4803.0
S000000490,O000000490,1,24,16.93,5030.0
S000000491,O000000491,1,24,20.4,5770.0
S000000492,O000000492,1,12,19.02,4917.0
S000000493,O000000493,1,12,19.14,5819.0
S000000494,O000000494,1,24,10.56,4230.0
S000000495,O000000495,1,24,22.58,5349.0
S000000496,O000000496,1,24,16.5,5127.0
S000000497,O000000497,1,12,13.5,5182.0
S000000498,O000000498,1,24,18.46,4930.0
S000000499,O000000499,1,12,11.7,4616.0
S000000500,O000000500,1,12,15.57,5372.0
S000000501,O000000501,1,24,21.29,5332.0
S000000502,O000000502,1,36,25.1,5840.0
S000000503,O000000503,1,24,25.99,6572.0
S000000504,O000000504,1,24,15.34,5077.0
S000000505,O000000505,1,24,15.77,5248.0
S000000506,O000000506,1,36,22.9,5841.0
S000000507,O000000507,1,12,10.52,4474.0
S000000508,O000000508,1,12,23.85,6623.0
S000000509,O000000509,1,24,15.1,5368.0
S000000510,O000000510,1,24,5.45,3743.0
S000000511,O000000511,2,24,4.34,3809.0
S000000512,O000000512,2,24,23.97,5425.0
S000000513,O000000513,2,24,3.92,3731.0
S000000514,O000000514,2,24,9.66,4334.0
S000000515,O000000515,2,24,11.02,4705.0
S000000516,O000000516,2,36,6.91,4117.0
S000000517,O000000517,2,24,10.5,4630.0
S000000518,O000000518,2,12,21.44,6050.0
S000000519,O000000519,2,24,2.87,3622.0
S000000520,O000000520,2,12,23.59,5971.0
S000000521,O000000521,2,24,24.34,6333.0
S000000522,O000000522,2,36,11.99,4897.0
S000000523,O000000523,2,12,6.42,4058.0
S000000524,O000000524,2,12,17.82,5627.0
S000000525,O000000525,2,24,5.55,4019.0
S000000526,O000000526,2,24,11.81,4935.0
S000000527,O000000527,2,12,26.94,6743.0
S000000528,O000000528,2,24,27.88,7097.0
S000000529,O000000529,2,24,22.19,6403.0
S000000530,O000000530,2,36,10.43,4191.0
S000000531,O000000531,2,24,20.04,5674.0
S000000532,O000000532,2,24,20.49,5533.0
S000000533,O000000533,2,24,12.39,4402.0
S000000534,O000000534,2,24,18.84,5293.0
S000000535,O000000535,2,24,2.77,3540.0
S000000536,O000000536,2,24,7.83,3964.0
S000000537,O000000537,2,24,15.89,4687.0
S000000538,O000000538,2,24,6.68,4024.0
S000000539,O000000539,2,36,6.73,3859.0
S000000540,O000000540,3,24,23.83,5828.0
S000000541,O000000541,3,24,27.72,6202.0
S000000542,O000000542,3,24,16.68,4732.0
S000000543,O000000543,3,24,23.9,5378.0
S000000544,O000000544,3,24,27.75,5884.0
S000000545,O000000545,3,36,6.11,3873.0
S000000546,O000000546,3,24,13.93,5245.0
S000000547,O000000547,3,12,12.51,4668.0
S000000548,O000000548,3,12,4.54,3867.0
S000000549,O000000549,3,24,21.76,5417.0
S000000550,O000000550,3,24,13.56,4558.0
S000000551,O000000551,3,12,14.47,4808.0
S000000552,O000000552,3,36,6.34,3840.0
S000000553,O000000553,3,24,7.11,4222.0
S000000554,O000000554,4,12,25.63,7005.0
S000000555,O000000555,4,24,3.64,3626.0
S000000556,O000000556,4,24,8.44,4137.0
S000000557,O000000557,4,24,9.95,4102.0
S000000558,O000000558,4,36,15.0,4795.0
S000000559,O000000559,4,24,17.45,5007.0
S000000560,O000000560,4,24,15.08,4855.0
S000000561,O000000561,4,24,4.64,3705.0
S000000562,O000000562,4,24,8.71,4464.0
S000000563,O000000563,4,24,24.01,5963.0
S000000564,O000000564,4,24,18.76,5859.0
S000000565,O000000565,4,24,19.05,5800.0
S000000566,O000000566,4,24,19.59,5845.0
S000000567,O000000567,4,36,21.95,5817.0
S000000568,O000000568,4,24,3.98,3559.0
S000000569,O000000569,4,24,11.85,4349.0
S000000570,O000000570,4,12,16.26,5030.0
S000000571,O000000571,4,24,11.13,4869.0
S000000572,O000000572,4,24,24.03,5396.0
S000000573,O000000573,4,24,14.81,5018.0
S000000574,O000000574,4,24,22.1,5662.0
S000000575,O000000575,4,24,24.23,6361.0
S000000576,O000000576,4,12,15.37,5475.0
S000000577,O000000577,4,24,25.69,6532.0
S000000578,O000000578,4,24,17.47,4918.0
S000000579,O000000579,4,24,24.18,5662.0
S000000580,O000000580,4,24,11.19,4703.0
S000000581,O000000581,4,12,15.22,4990.0
S000000582,O000000582,4,24,16.05,5242.0
S000000583,O000000583,4,24,5.18,3722.0
S000000584,O000000584,4,12,12.66,4475.0
S000000585,O000000585,4,24,25.89,7032.0
S000000586,O000000586,4,24,18.59,5148.0
S000000587,O000000587,4,24,7.03,3971.0
S000000588,O000000588,4,24,11.14,4423.0
S000000589,O000000589,4,24,7.39,3986.0
S000000590,O000000590,4,24,3.13,3658.0
S000000591,O000000591,4,24,26.15,5629.0
S000000592,O000000592,4,24,13.93,4668.0
S000000593,O000000593,4,24,10.34,4166.0
S000000594,O000000594,4,12,17.76,5441.0
S000000595,O000000595,5,24,2.69,3457.0
S000000596,O000000596,5,24,9.59,4231.0
S000000597,O000000597,5,24,20.43,6205.0
S000000598,O000000598,5,24,18.66,5035.0
S000000599,O000000599,5,12,27.54,6592.0
S000000600,O000000600,5,24,18.32,5034.0
S000000601,O000000601,5,36,14.68,4596.0
S000000602,O000000602,5,12,21.92,5316.0
S000000603,O000000603,5,12,25.53,6890.0
S000000604,O000000604,5,12,20.88,5418.0
S000000605,O000000605,5,36,27.06,6799.0
