order_id,event_type,event_ts
O000000022,RELEASED_TO_WMS,2025-01-01 06:34:00
O000000023,ORDER_RECEIVED,2025-01-01 02:10:00
O000000023,RELEASED_TO_WMS,2025-01-01 05:40:00
O000000024,ORDER_RECEIVED,2025-01-01 08:20:00
O000000024,RELEASED_TO_WMS,2025-01-01 11:08:00
O000000025,ORDER_RECEIVED,2025-01-01 23:49:00
O000000025,RELEASED_TO_WMS,2025-01-02 04:59:00
O000000026,ORDER_RECEIVED,2025-01-01 20:32:00
O000000026,RELEASED_TO_WMS,2025-01-01 22:27:00
O000000027,ORDER_RECEIVED,2025-01-01 03:01:00
O000000027,RELEASED_TO_WMS,2025-01-01 06:30:00
O000000028,ORDER_RECEIVED,2025-01-01 09:49:00
O000000028,RELEASED_TO_WMS,2025-01-01 12:27:00
O000000029,ORDER_RECEIVED,2025-01-01 08:01:00
O000000029,RELEASED_TO_WMS,2025-01-01 08:28:00
O000000030,ORDER_RECEIVED,2025-01-01 16:43:00
O000000030,RELEASED_TO_WMS,2025-01-01 19:40:00
O000000031,ORDER_RECEIVED,2025-01-01 22:30:00
O000000031,RELEASED_TO_WMS,2025-01-01 23:41:00
O000000032,ORDER_RECEIVED,2025-01-01 03:59:00
O000000032,RELEASED_TO_WMS,2025-01-01 06:28:00
O000000033,ORDER_RECEIVED,2025-01-01 14:34:00
O000000033,RELEASED_TO_WMS,2025-01-01 16:57:00
O000000034,ORDER_RECEIVED,2025-01-01 08:08:00
O000000034,RELEASED_TO_WMS,2025-01-01 13:55:00
O000000035,ORDER_RECEIVED,2025-01-01 10:58:00
O000000035,RELEASED_TO_WMS,2025-01-01 12:48:00
O000000036,ORDER_RECEIVED,2025-01-01 06:16:00
O000000036,RELEASED_TO_WMS,2025-01-01 10:39:00
O000000037,ORDER_RECEIVED,2025-01-01 01:54:00
O000000037,RELEASED_TO_WMS,2025-01-01 02:46:00
O000000038,ORDER_RECEIVED,2025-01-01 16:53:00
O000000038,RELEASED_TO_WMS,2025-01-01 18:21:00
O000000039,ORDER_RECEIVED,2025-01-01 13:07:00
O000000039,RELEASED_TO_WMS,2025-01-01 14:27:00
O000000040,ORDER_RECEIVED,2025-01-01 11:49:00
O000000040,RELEASED_TO_WMS,2025-01-01 16:13:00
O000000041,ORDER_RECEIVED,2025-01-01 03:21:00
O000000041,RELEASED_TO_WMS,2025-01-01 06:59:00
O000000042,ORDER_RECEIVED,2025-01-01 18:10:00
O000000042,RELEASED_TO_WMS,2025-01-01 20:51:00
O000000043,ORDER_RECEIVED,2025-01-01 04:31:00
O000000043,RELEASED_TO_WMS,2025-01-01 06:43:00
O000000044,ORDER_RECEIVED,2025-01-01 04:12:00
O000000044,RELEASED_TO_WMS,2025-01-01 07:51:00
O000000045,ORDER_RECEIVED,2025-01-01 23:45:00
O000000045,RELEASED_TO_WMS,2025-01-02 03:22:00
O000000046,ORDER_RECEIVED,2025-01-01 07:04:00
O000000046,RELEASED_TO_WMS,2025-01-01 07:31:00
O000000047,ORDER_RECEIVED,2025-01-01 11:12:00
O000000047,RELEASED_TO_WMS,2025-01-01 15:58:00
O000000048,ORDER_RECEIVED,2025-01-01 16:06:00
O000000048,RELEASED_TO_WMS,2025-01-01 19:12:00
O000000049,ORDER_RECEIVED,2025-01-01 13:00:00
O000000049,RELEASED_TO_WMS,2025-01-01 16:00:00
O000000050,ORDER_RECEIVED,2025-01-01 13:04:00
O000000050,RELEASED_TO_WMS,2025-01-01 16:21:00
O000000051,ORDER_RECEIVED,2025-01-01 08:43:00
O000000051,RELEASED_TO_WMS,2025-01-01 13:43:00
O000000052,ORDER_RECEIVED,2025-01-01 07:15:00
O000000052,RELEASED_TO_WMS,2025-01-01 10:43:00
O000000053,ORDER_RECEIVED,2025-01-01 02:51:00
O000000053,RELEASED_TO_WMS,2025-01-01 04:46:00
O000000054,ORDER_RECEIVED,2025-01-01 22:31:00
O000000054,RELEASED_TO_WMS,2025-01-02 03:12:00
O000000055,ORDER_RECEIVED,2025-01-01 23:24:00
O000000055,RELEASED_TO_WMS,2025-01-02 01:02:00
O000000056,ORDER_RECEIVED,2025-01-01 13:07:00
O000000056,RELEASED_TO_WMS,2025-01-01 15:33:00
O000000057,ORDER_RECEIVED,2025-01-01 23:07:00
O000000057,RELEASED_TO_WMS,2025-01-02 01:14:00
O000000058,ORDER_RECEIVED,2025-01-01 14:55:00
O000000058,RELEASED_TO_WMS,2025-01-01 18:10:00
O000000059,ORDER_RECEIVED,2025-01-01 04:20:00
O000000059,RELEASED_TO_WMS,2025-01-01 05:35:00
O000000060,ORDER_RECEIVED,2025-01-01 23:15:00
O000000060,RELEASED_TO_WMS,2025-01-02 05:12:00
O000000061,ORDER_RECEIVED,2025-01-01 20:17:00
O000000061,RELEASED_TO_WMS,2025-01-02 01:39:00
O000000062,ORDER_RECEIVED,2025-01-01 11:16:00
O000000062,RELEASED_TO_WMS,2025-01-01 13:23:00
O000000063,ORDER_RECEIVED,2025-01-01 09:50:00
O000000063,RELEASED_TO_WMS,2025-01-01 12:17:00
O000000064,ORDER_RECEIVED,2025-01-01 09:07:00
O000000064,RELEASED_TO_WMS,2025-01-01 10:56:00
O000000065,ORDER_RECEIVED,2025-01-01 00:45:00
O000000065,RELEASED_TO_WMS,2025-01-01 01:46:00
O000000066,ORDER_RECEIVED,2025-01-01 17:55:00
O000000066,RELEASED_TO_WMS,2025-01-01 19:15:00
O000000067,ORDER_RECEIVED,2025-01-01 01:04:00
O000000067,RELEASED_TO_WMS,2025-01-01 02:30:00
O000000068,ORDER_RECEIVED,2025-01-01 07:41:00
O000000068,RELEASED_TO_WMS,2025-01-01 13:31:00
O000000069,ORDER_RECEIVED,2025-01-01 22:25:00
O000000069,RELEASED_TO_WMS,2025-01-01 22:49:00
O000000070,ORDER_RECEIVED,2025-01-01 00:25:00
O000000070,RELEASED_TO_WMS,2025-01-01 04:35:00
O000000071,ORDER_RECEIVED,2025-01-01 22:15:00
O000000071,RELEASED_TO_WMS,2025-01-02 02:31:00
O000000072,ORDER_RECEIVED,2025-01-01 20:44:00
O000000072,RELEASED_TO_WMS,2025-01-02 01:37:00
O000000073,ORDER_RECEIVED,2025-01-01 19:49:00
O000000073,RELEASED_TO_WMS,2025-01-01 20:53:00
O000000074,ORDER_RECEIVED,2025-01-01 01:56:00
O000000074,RELEASED_TO_WMS,2025-01-01 04:31:00
O000000075,ORDER_RECEIVED,2025-01-01 12:12:00
O000000075,RELEASED_TO_WMS,2025-01-01 16:17:00
O000000076,ORDER_RECEIVED,2025-01-01 23:02:00
O000000076,CANCELLED,2025-01-01 23:32:00
O000000076,RELEASED_TO_WMS,2025-01-02 04:36:00
O000000077,ORDER_RECEIVED,2025-01-01 15:12:00
O000000077,RELEASED_TO_WMS,2025-01-01 20:17:00
O000000078,ORDER_RECEIVED,2025-01-01 02:32:00
O000000078,RELEASED_TO_WMS,2025-01-01 02:54:00
O000000079,ORDER_RECEIVED,2025-01-01 23:11:00
O000000079,RELEASED_TO_WMS,2025-01-02 03:42:00
O000000080,ORDER_RECEIVED,2025-01-01 19:18:00
O000000080,RELEASED_TO_WMS,2025-01-02 00:25:00
O000000081,ORDER_RECEIVED,2025-01-01 00:25:00
O000000081,RELEASED_TO_WMS,2025-01-01 02:10:00
O000000082,ORDER_RECEIVED,2025-01-01 19:07:00
O000000082,RELEASED_TO_WMS,2025-01-01 23:47:00
O000000083,ORDER_RECEIVED,2025-01-01 14:32:00
O000000083,RELEASED_TO_WMS,2025-01-01 16:30:00
O000000084,ORDER_RECEIVED,2025-01-01 09:54:00
O000000084,RELEASED_TO_WMS,2025-01-01 10:52:00
O000000085,ORDER_RECEIVED,2025-01-01 15:38:00
O000000085,RELEASED_TO_WMS,2025-01-01 18:58:00
O000000086,ORDER_RECEIVED,2025-01-01 05:56:00
O000000086,RELEASED_TO_WMS,2025-01-01 11:01:00
O000000087,ORDER_RECEIVED,2025-01-01 19:35:00
O000000087,RELEASED_TO_WMS,2025-01-01 22:36:00
O000000088,ORDER_RECEIVED,2025-01-01 14:15:00
O000000088,RELEASED_TO_WMS,2025-01-01 16:23:00
O000000089,ORDER_RECEIVED,2025-01-01 07:26:00
O000000089,RELEASED_TO_WMS,2025-01-01 11:09:00
O000000090,ORDER_RECEIVED,2025-01-01 03:58:00
O000000090,CANCELLED,2025-01-01 04:23:00
O000000090,RELEASED_TO_WMS,2025-01-01 06:52:00
O000000091,ORDER_RECEIVED,2025-01-01 04:40:00
O000000091,RELEASED_TO_WMS,2025-01-01 05:59:00
O000000092,ORDER_RECEIVED,2025-01-01 12:23:00
O000000092,RELEASED_TO_WMS,2025-01-01 16:34:00
O000000093,ORDER_RECEIVED,2025-01-01 23:37:00
O000000093,RELEASED_TO_WMS,2025-01-02 02:48:00
O000000094,ORDER_RECEIVED,2025-01-01 12:52:00
O000000094,RELEASED_TO_WMS,2025-01-01 13:26:00
O000000095,ORDER_RECEIVED,2025-01-01 05:28:00
O000000095,RELEASED_TO_WMS,2025-01-01 07:12:00
O000000096,ORDER_RECEIVED,2025-01-01 06:46:00
O000000096,RELEASED_TO_WMS,2025-01-01 07:22:00
O000000097,ORDER_RECEIVED,2025-01-01 21:26:00
O000000097,RELEASED_TO_WMS,2025-01-01 22:20:00
O000000098,ORDER_RECEIVED,2025-01-01 09:41:00
O000000098,RELEASED_TO_WMS,2025-01-01 15:15:00
O000000099,ORDER_RECEIVED,2025-01-01 19:13:00
O000000099,RELEASED_TO_WMS,2025-01-02 00:39:00
O000000100,ORDER_RECEIVED,2025-01-01 13:54:00
O000000100,RELEASED_TO_WMS,2025-01-01 18:39:00
O000000101,ORDER_RECEIVED,2025-01-01 17:44:00
O000000101,RELEASED_TO_WMS,2025-01-01 18:49:00
O000000102,ORDER_RECEIVED,2025-01-01 23:12:00
O000000102,RELEASED_TO_WMS,2025-01-02 04:23:00
O000000103,ORDER_RECEIVED,2025-01-01 16:28:00
O000000103,RELEASED_TO_WMS,2025-01-01 20:25:00
O000000104,ORDER_RECEIVED,2025-01-01 10:24:00
O000000104,RELEASED_TO_WMS,2025-01-01 13:26:00
O000000105,ORDER_RECEIVED,2025-01-01 08:07:00
O000000105,RELEASED_TO_WMS,2025-01-01 10:31:00
O000000106,ORDER_RECEIVED,2025-01-01 10:24:00
O000000106,RELEASED_TO_WMS,2025-01-01 12:53:00
O000000107,ORDER_RECEIVED,2025-01-01 19:01:00
O000000107,RELEASED_TO_WMS,2025-01-02 00:43:00
O000000108,ORDER_RECEIVED,2025-01-01 18:29:00
O000000108,RELEASED_TO_WMS,2025-01-01 20:40:00
O000000109,ORDER_RECEIVED,2025-01-01 11:44:00
O000000109,RELEASED_TO_WMS,2025-01-01 15:45:00
O000000110,ORDER_RECEIVED,2025-01-01 18:23:00
O000000110,RELEASED_TO_WMS,2025-01-01 22:18:00
O000000111,ORDER_RECEIVED,2025-01-01 00:50:00
O000000111,RELEASED_TO_WMS,2025-01-01 02:18:00
O000000112,ORDER_RECEIVED,2025-01-01 22:03:00
O000000112,RELEASED_TO_WMS,2025-01-01 23:07:00
O000000113,ORDER_RECEIVED,2025-01-01 14:55:00
O000000113,RELEASED_TO_WMS,2025-01-01 19:21:00
O000000114,ORDER_RECEIVED,2025-01-01 17:21:00
O000000114,RELEASED_TO_WMS,2025-01-01 18:27:00
O000000115,ORDER_RECEIVED,2025-01-01 09:45:00
O000000115,RELEASED_TO_WMS,2025-01-01 13:26:00
O000000116,ORDER_RECEIVED,2025-01-01 22:21:00
O000000116,RELEASED_TO_WMS,2025-01-02 04:02:00
O000000117,ORDER_RECEIVED,2025-01-01 01:12:00
O000000117,RELEASED_TO_WMS,2025-01-01 02:04:00
O000000118,ORDER_RECEIVED,2025-01-01 03:06:00
O000000118,RELEASED_TO_WMS,2025-01-01 06:38:00
O000000119,ORDER_RECEIVED,2025-01-01 16:18:00
O000000119,RELEASED_TO_WMS,2025-01-01 19:35:00
O000000120,ORDER_RECEIVED,2025-01-01 12:25:00
O000000120,RELEASED_TO_WMS,2025-01-01 15:32:00
O000000121,ORDER_RECEIVED,2025-01-01 20:16:00
O000000121,RELEASED_TO_WMS,2025-01-01 21:16:00
O000000122,ORDER_RECEIVED,2025-01-01 11:42:00
O000000122,RELEASED_TO_WMS,2025-01-01 15:45:00
O000000123,ORDER_RECEIVED,2025-01-01 04:59:00
O000000123,RELEASED_TO_WMS,2025-01-01 09:07:00
O000000124,ORDER_RECEIVED,2025-01-01 19:36:00
O000000124,RELEASED_TO_WMS,2025-01-02 00:15:00
O000000125,ORDER_RECEIVED,2025-01-01 12:46:00
O000000125,RELEASED_TO_WMS,2025-01-01 14:52:00
O000000126,ORDER_RECEIVED,2025-01-01 02:04:00
O000000126,RELEASED_TO_WMS,2025-01-01 07:42:00
O000000127,ORDER_RECEIVED,2025-01-01 03:04:00
O000000127,RELEASED_TO_WMS,2025-01-01 07:32:00
O000000128,ORDER_RECEIVED,2025-01-01 08:39:00
O000000128,RELEASED_TO_WMS,2025-01-01 13:24:00
O000000129,ORDER_RECEIVED,2025-01-01 15:38:00
O000000129,RELEASED_TO_WMS,2025-01-01 21:33:00
O000000130,ORDER_RECEIVED,2025-01-01 10:10:00
O000000130,RELEASED_TO_WMS,2025-01-01 11:10:00
O000000131,ORDER_RECEIVED,2025-01-01 02:56:00
O000000131,RELEASED_TO_WMS,2025-01-01 03:57:00
O000000132,ORDER_RECEIVED,2025-01-01 13:04:00
O000000132,RELEASED_TO_WMS,2025-01-01 13:28:00
O000000133,ORDER_RECEIVED,2025-01-01 10:21:00
O000000133,RELEASED_TO_WMS,2025-01-01 12:21:00
O000000134,ORDER_RECEIVED,2025-01-01 00:17:00
O000000134,RELEASED_TO_WMS,2025-01-01 02:19:00
O000000135,ORDER_RECEIVED,2025-01-01 13:04:00
O000000135,RELEASED_TO_WMS,2025-01-01 14:01:00
O000000136,ORDER_RECEIVED,2025-01-01 16:25:00
O000000136,RELEASED_TO_WMS,2025-01-01 18:21:00
O000000137,ORDER_RECEIVED,2025-01-01 15:58:00
O000000137,RELEASED_TO_WMS,2025-01-01 21:57:00
O000000138,ORDER_RECEIVED,2025-01-01 14:57:00
O000000138,RELEASED_TO_WMS,2025-01-01 15:47:00
O000000139,ORDER_RECEIVED,2025-01-01 05:54:00
O000000139,RELEASED_TO_WMS,2025-01-01 07:35:00
O000000140,ORDER_RECEIVED,2025-01-01 19:24:00
O000000140,RELEASED_TO_WMS,2025-01-01 20:51:00
O000000141,ORDER_RECEIVED,2025-01-01 21:49:00
O000000141,RELEASED_TO_WMS,2025-01-01 22:21:00
O000000141,CANCELLED,2025-01-02 00:17:00
O000000142,ORDER_RECEIVED,2025-01-01 14:32:00
O000000142,RELEASED_TO_WMS,2025-01-01 20:25:00
O000000143,ORDER_RECEIVED,2025-01-01 19:14:00
O000000143,RELEASED_TO_WMS,2025-01-01 20:57:00
O000000144,ORDER_RECEIVED,2025-01-01 01:22:00
O000000144,RELEASED_TO_WMS,2025-01-01 02:22:00
O000000145,ORDER_RECEIVED,2025-01-01 18:31:00
O000000145,RELEASED_TO_WMS,2025-01-01 21:22:00
O000000146,ORDER_RECEIVED,2025-01-01 00:57:00
O000000146,RELEASED_TO_WMS,2025-01-01 05:14:00
O000000147,ORDER_RECEIVED,2025-01-01 12:06:00
O000000147,RELEASED_TO_WMS,2025-01-01 12:55:00
O000000148,ORDER_RECEIVED,2025-01-01 20:25:00
O000000148,RELEASED_TO_WMS,2025-01-01 21:03:00
O000000149,ORDER_RECEIVED,2025-01-01 04:37:00
O000000149,RELEASED_TO_WMS,2025-01-01 07:54:00
O000000150,ORDER_RECEIVED,2025-01-01 23:31:00
O000000150,RELEASED_TO_WMS,2025-01-02 00:14:00
O000000151,ORDER_RECEIVED,2025-01-01 14:47:00
O000000151,RELEASED_TO_WMS,2025-01-01 17:43:00
O000000152,ORDER_RECEIVED,2025-01-01 17:01:00
O000000152,RELEASED_TO_WMS,2025-01-01 21:42:00
O000000153,ORDER_RECEIVED,2025-01-01 04:24:00
O000000153,RELEASED_TO_WMS,2025-01-01 07:48:00
O000000154,ORDER_RECEIVED,2025-01-01 18:49:00
O000000154,RELEASED_TO_WMS,2025-01-01 21:40:00
O000000155,ORDER_RECEIVED,2025-01-01 03:28:00
O000000155,RELEASED_TO_WMS,2025-01-01 06:10:00
O000000156,ORDER_RECEIVED,2025-01-01 13:52:00
O000000156,RELEASED_TO_WMS,2025-01-01 16:42:00
O000000157,ORDER_RECEIVED,2025-01-01 22:34:00
O000000157,RELEASED_TO_WMS,2025-01-02 02:48:00
O000000158,ORDER_RECEIVED,2025-01-01 09:41:00
O000000158,RELEASED_TO_WMS,2025-01-01 15:31:00
O000000159,ORDER_RECEIVED,2025-01-01 03:13:00
O000000159,RELEASED_TO_WMS,2025-01-01 07:01:00
O000000160,ORDER_RECEIVED,2025-01-01 10:16:00
O000000160,RELEASED_TO_WMS,2025-01-01 16:06:00
O000000161,ORDER_RECEIVED,2025-01-01 09:53:00
O000000161,RELEASED_TO_WMS,2025-01-01 15:35:00
O000000162,ORDER_RECEIVED,2025-01-01 14:07:00
O000000162,RELEASED_TO_WMS,2025-01-01 16:08:00
O000000163,ORDER_RECEIVED,2025-01-01 10:02:00
O000000163,RELEASED_TO_WMS,2025-01-01 10:54:00
O000000164,ORDER_RECEIVED,2025-01-01 13:44:00
O000000164,RELEASED_TO_WMS,2025-01-01 17:09:00
O000000165,ORDER_RECEIVED,2025-01-01 15:33:00
O000000165,RELEASED_TO_WMS,2025-01-01 17:16:00
O000000166,ORDER_RECEIVED,2025-01-01 18:53:00
O000000166,RELEASED_TO_WMS,2025-01-01 22:13:00
O000000167,ORDER_RECEIVED,2025-01-01 15:01:00
O000000167,RELEASED_TO_WMS,2025-01-01 19:55:00
O000000168,ORDER_RECEIVED,2025-01-01 17:40:00
O000000168,RELEASED_TO_WMS,2025-01-01 22:49:00
O000000169,ORDER_RECEIVED,2025-01-01 12:05:00
O000000169,RELEASED_TO_WMS,2025-01-01 13:48:00
O000000170,ORDER_RECEIVED,2025-01-01 07:32:00
O000000170,RELEASED_TO_WMS,2025-01-01 08:06:00
O000000171,ORDER_RECEIVED,2025-01-01 02:46:00
O000000171,RELEASED_TO_WMS,2025-01-01 07:45:00
O000000172,ORDER_RECEIVED,2025-01-01 01:20:00
O000000172,RELEASED_TO_WMS,2025-01-01 04:25:00
O000000173,ORDER_RECEIVED,2025-01-01 04:09:00
O000000173,RELEASED_TO_WMS,2025-01-01 09:35:00
O000000174,ORDER_RECEIVED,2025-01-01 00:21:00
O000000174,RELEASED_TO_WMS,2025-01-01 03:02:00
O000000175,ORDER_RECEIVED,2025-01-01 08:56:00
O000000175,RELEASED_TO_WMS,2025-01-01 13:03:00
O000000176,ORDER_RECEIVED,2025-01-01 02:52:00
O000000176,RELEASED_TO_WMS,2025-01-01 03:38:00
O000000177,ORDER_RECEIVED,2025-01-01 23:53:00
O000000177,RELEASED_TO_WMS,2025-01-02 04:35:00
O000000178,ORDER_RECEIVED,2025-01-01 16:30:00
O000000178,CANCELLED,2025-01-01 18:27:00
O000000178,RELEASED_TO_WMS,2025-01-01 22:04:00
O000000179,ORDER_RECEIVED,2025-01-01 18:09:00
O000000179,RELEASED_TO_WMS,2025-01-01 21:27:00
O000000180,ORDER_RECEIVED,2025-01-01 10:01:00
O000000180,RELEASED_TO_WMS,2025-01-01 15:05:00
O000000181,ORDER_RECEIVED,2025-01-01 04:48:00
O000000181,RELEASED_TO_WMS,2025-01-01 09:53:00
O000000182,ORDER_RECEIVED,2025-01-01 12:04:00
O000000182,RELEASED_TO_WMS,2025-01-01 14:56:00
O000000183,ORDER_RECEIVED,2025-01-01 20:03:00
O000000183,RELEASED_TO_WMS,2025-01-02 00:39:00
O000000184,ORDER_RECEIVED,2025-01-01 22:03:00
O000000184,RELEASED_TO_WMS,2025-01-01 23:14:00
O000000185,ORDER_RECEIVED,2025-01-01 22:34:00
O000000185,RELEASED_TO_WMS,2025-01-01 23:09:00
O000000186,ORDER_RECEIVED,2025-01-01 04:39:00
O000000186,RELEASED_TO_WMS,2025-01-01 07:45:00
O000000187,ORDER_RECEIVED,2025-01-01 00:20:00
O000000187,RELEASED_TO_WMS,2025-01-01 01:08:00
O000000188,ORDER_RECEIVED,2025-01-01 20:29:00
O000000188,RELEASED_TO_WMS,2025-01-02 00:25:00
O000000189,ORDER_RECEIVED,2025-01-01 19:03:00
O000000189,RELEASED_TO_WMS,2025-01-01 23:42:00
O000000190,ORDER_RECEIVED,2025-01-01 17:50:00
O000000190,RELEASED_TO_WMS,2025-01-01 21:13:00
O000000191,ORDER_RECEIVED,2025-01-01 07:56:00
O000000191,RELEASED_TO_WMS,2025-01-01 11:00:00
O000000192,ORDER_RECEIVED,2025-01-01 08:52:00
O000000192,RELEASED_TO_WMS,2025-01-01 12:03:00
O000000193,ORDER_RECEIVED,2025-01-01 02:53:00
O000000193,RELEASED_TO_WMS,2025-01-01 08:02:00
O000000194,ORDER_RECEIVED,2025-01-01 20:21:00
O000000194,RELEASED_TO_WMS,2025-01-01 23:41:00
O000000195,ORDER_RECEIVED,2025-01-01 23:57:00
O000000195,RELEASED_TO_WMS,2025-01-02 05:28:00
O000000196,ORDER_RECEIVED,2025-01-01 00:12:00
O000000196,RELEASED_TO_WMS,2025-01-01 02:27:00
O000000197,ORDER_RECEIVED,2025-01-01 14:35:00
O000000197,RELEASED_TO_WMS,2025-01-01 20:10:00
O000000198,ORDER_RECEIVED,2025-01-01 03:25:00
O000000198,CANCELLED,2025-01-01 03:59:00
O000000198,RELEASED_TO_WMS,2025-01-01 07:08:00
O000000199,ORDER_RECEIVED,2025-01-01 16:52:00
O000000199,RELEASED_TO_WMS,2025-01-01 20:10:00
O000000200,ORDER_RECEIVED,2025-01-01 15:12:00
O000000200,RELEASED_TO_WMS,2025-01-01 20:30:00
O000000201,ORDER_RECEIVED,2025-01-01 11:27:00
O000000201,RELEASED_TO_WMS,2025-01-01 14:42:00
O000000202,ORDER_RECEIVED,2025-01-01 17:17:00
O000000202,RELEASED_TO_WMS,2025-01-01 20:13:00
O000000203,ORDER_RECEIVED,2025-01-01 20:48:00
O000000203,RELEASED_TO_WMS,2025-01-02 01:43:00
O000000204,ORDER_RECEIVED,2025-01-01 10:33:00
O000000204,RELEASED_TO_WMS,2025-01-01 13:14:00
O000000205,ORDER_RECEIVED,2025-01-01 23:16:00
O000000205,RELEASED_TO_WMS,2025-01-02 04:15:00
O000000206,ORDER_RECEIVED,2025-01-01 17:36:00
O000000206,RELEASED_TO_WMS,2025-01-01 17:57:00
O000000207,ORDER_RECEIVED,2025-01-01 02:58:00
O000000207,RELEASED_TO_WMS,2025-01-01 08:45:00
O000000208,ORDER_RECEIVED,2025-01-01 11:45:00
O000000208,RELEASED_TO_WMS,2025-01-01 13:55:00
O000000209,ORDER_RECEIVED,2025-01-01 23:28:00
O000000209,RELEASED_TO_WMS,2025-01-02 03:28:00
O000000210,ORDER_RECEIVED,2025-01-01 02:02:00
O000000210,RELEASED_TO_WMS,2025-01-01 03:52:00
O000000211,ORDER_RECEIVED,2025-01-01 22:11:00
O000000211,RELEASED_TO_WMS,2025-01-01 22:49:00
O000000212,ORDER_RECEIVED,2025-01-01 08:56:00
O000000212,RELEASED_TO_WMS,2025-01-01 14:32:00
O000000213,ORDER_RECEIVED,2025-01-01 16:12:00
O000000213,RELEASED_TO_WMS,2025-01-01 16:34:00
O000000214,ORDER_RECEIVED,2025-01-01 20:46:00
O000000214,RELEASED_TO_WMS,2025-01-01 23:15:00
O000000215,ORDER_RECEIVED,2025-01-01 01:10:00
O000000215,RELEASED_TO_WMS,2025-01-01 02:49:00
O000000215,CANCELLED,2025-01-01 03:45:00
O000000216,ORDER_RECEIVED,2025-01-01 06:18:00
O000000216,CANCELLED,2025-01-01 08:25:00
O000000216,RELEASED_TO_WMS,2025-01-01 10:28:00
O000000217,ORDER_RECEIVED,2025-01-01 21:29:00
O000000217,RELEASED_TO_WMS,2025-01-02 01:16:00
O000000218,ORDER_RECEIVED,2025-01-01 16:07:00
O000000218,RELEASED_TO_WMS,2025-01-01 19:25:00
O000000219,ORDER_RECEIVED,2025-01-01 08:21:00
O000000219,RELEASED_TO_WMS,2025-01-01 12:42:00
O000000220,ORDER_RECEIVED,2025-01-01 14:10:00
O000000220,RELEASED_TO_WMS,2025-01-01 17:36:00
O000000221,ORDER_RECEIVED,2025-01-01 21:16:00
O000000221,RELEASED_TO_WMS,2025-01-02 01:25:00
O000000222,ORDER_RECEIVED,2025-01-01 08:12:00
O000000222,RELEASED_TO_WMS,2025-01-01 11:33:00
O000000223,ORDER_RECEIVED,2025-01-01 23:58:00
O000000223,RELEASED_TO_WMS,2025-01-02 03:19:00
O000000224,ORDER_RECEIVED,2025-01-01 03:17:00
O000000224,RELEASED_TO_WMS,2025-01-01 08:27:00
O000000225,ORDER_RECEIVED,2025-01-01 16:49:00
O000000225,RELEASED_TO_WMS,2025-01-01 19:57:00
O000000226,ORDER_RECEIVED,2025-01-01 21:58:00
O000000226,RELEASED_TO_WMS,2025-01-01 22:53:00
