shipment_id,pickup_ts,delivered_ts,actual_distance_km,actual_cost
S000000101,2025-01-01 22:12:00,2025-01-02 23:24:31.041599839,27.02,7672.0
S000000102,2025-01-02 05:26:00,2025-01-02 10:44:55.459988640,22.01,5648.0
S000000103,2025-01-01 23:42:00,2025-01-03 10:41:27.343260808,9.08,4696.0
S000000104,2025-01-01 13:47:00,2025-01-02 23:13:18.866248904,31.6,5530.0
S000000105,2025-01-01 13:46:00,2025-01-02 03:51:35.238920650,25.68,6168.0
S000000106,2025-01-01 16:06:00,2025-01-03 01:16:45.020048232,22.46,7176.0
S000000107,2025-01-02 03:54:00,2025-01-02 23:12:44.335444615,16.21,5004.0
S000000108,2025-01-01 23:26:00,2025-01-03 06:56:15.438405855,10.05,4223.0
S000000109,2025-01-01 17:48:00,2025-01-02 19:49:34.469470462,4.93,3751.0
S000000110,2025-01-02 01:13:00,2025-01-02 08:11:23.379402586,28.2,6246.0
S000000111,2025-01-01 03:38:00,2025-01-02 06:27:38.624335914,13.89,5159.0
S000000112,2025-01-02 02:18:00,2025-01-03 02:46:32.110980362,8.75,4616.0
S000000113,2025-01-01 21:43:00,2025-01-03 03:30:21.460465305,9.44,4121.0
S000000114,2025-01-01 20:27:00,2025-01-03 00:57:14.014469106,17.63,6243.0
S000000115,2025-01-01 15:37:00,2025-01-02 19:03:12.841161295,7.19,3893.0
S000000116,2025-01-02 06:27:00,2025-01-03 07:06:42.989965329,22.67,6388.0
S000000117,2025-01-01 02:32:00,2025-01-02 09:59:48.910794426,25.49,7510.0
S000000118,2025-01-01 07:28:00,2025-01-02 12:23:49.151768671,25.72,6575.0
S000000119,2025-01-01 20:49:00,2025-01-03 00:21:46.808633148,12.53,4736.0
S000000120,2025-01-01 16:17:00,2025-01-02 00:12:23.260619132,17.67,6627.0
S000000121,2025-01-01 23:12:00,2025-01-03 10:18:31.857817633,20.83,5814.0
S000000122,2025-01-01 18:32:00,2025-01-03 02:33:55.344038973,20.2,5207.0
S000000123,2025-01-01 11:50:00,2025-01-02 08:58:08.517790406,4.59,3892.0
S000000124,2025-01-02 02:18:00,2025-01-03 11:06:00.185529272,14.48,5960.0
S000000125,2025-01-01 18:20:00,2025-01-02 15:33:09.435841507,3.26,4098.0
S000000126,2025-01-01 10:06:00,2025-01-02 07:42:30.979259200,13.76,5051.0
S000000127,2025-01-01 08:09:00,2025-01-02 15:06:29.050388481,12.77,5012.0
S000000128,2025-01-01 16:32:00,2025-01-02 08:54:57.320432220,7.27,4557.0
S000000129,2025-01-01 23:59:00,2025-01-03 03:00:28.124851699,6.37,4310.0
S000000130,2025-01-01 13:49:00,2025-01-02 19:31:21.809301634,21.18,5050.0
S000000131,2025-01-01 06:21:00,2025-01-02 15:07:31.356638878,7.9,4616.0
S000000132,2025-01-01 15:49:00,2025-01-02 15:51:36.030921082,32.12,6649.0
S000000133,2025-01-01 13:00:00,2025-01-02 02:13:51.625431037,18.71,5425.0
S000000134,2025-01-01 04:42:00,2025-01-02 09:43:41.898116056,13.82,5223.0
S000000135,2025-01-01 17:15:00,2025-01-02 00:12:19.161617288,21.45,6095.0
S000000136,2025-01-01 19:47:00,2025-01-02 20:33:58.869850911,3.03,3844.0
S000000137,2025-01-02 00:29:00,2025-01-03 03:07:38.805708213,32.2,8451.0
S000000138,2025-01-01 16:13:00,2025-01-03 00:14:11.963344472,14.23,5125.0
S000000139,2025-01-01 09:11:00,2025-01-02 01:49:43.173702952,27.27,5676.0
S000000140,2025-01-01 22:47:00,2025-01-03 02:55:28.465430459,4.9,4353.0
S000000141,2025-01-02 02:17:00,2025-01-03 00:21:05.766915504,16.37,4511.0
S000000142,2025-01-01 21:32:00,2025-01-02 21:38:23.516077568,17.79,5329.0
S000000143,2025-01-01 22:17:00,2025-01-03 00:12:09.317765352,27.3,7010.0
S000000144,2025-01-01 04:11:00,2025-01-01 13:12:30.550560301,17.15,6394.0
S000000145,2025-01-02 01:20:00,2025-01-03 05:00:33.103157808,17.56,6019.0
S000000146,2025-01-01 08:41:00,2025-01-01 15:43:42.876176035,10.82,4234.0
S000000147,2025-01-01 13:22:00,2025-01-03 00:32:18.363714963,12.48,4819.0
S000000148,2025-01-01 22:14:00,2025-01-02 06:47:13.766533955,14.34,6497.0
S000000149,2025-01-01 11:14:00,2025-01-02 22:47:32.576900583,14.02,4438.0
S000000150,2025-01-02 00:46:00,2025-01-02 12:47:14.824594430,3.12,4011.0
S000000151,2025-01-01 21:11:00,2025-01-02 14:13:34.428047841,21.8,7432.0
S000000152,2025-01-01 23:03:00,2025-01-02 21:18:22.132377115,29.93,6231.0
S000000153,2025-01-01 11:29:00,2025-01-02 06:49:38.675378328,7.03,4195.0
S000000154,2025-01-01 23:04:00,2025-01-03 01:41:07.847356882,15.54,6574.0
S000000155,2025-01-01 08:05:00,2025-01-02 09:43:46.686783001,5.12,3944.0
S000000156,2025-01-01 19:27:00,2025-01-02 11:11:24.418891719,24.31,6060.0
S000000157,2025-01-02 03:35:00,2025-01-03 08:07:22.929332899,11.48,4511.0
S000000158,2025-01-01 17:53:00,2025-01-02 13:31:18.085994520,17.45,5768.0
S000000159,2025-01-01 09:12:00,2025-01-02 08:59:43.056624411,21.16,5965.0
S000000160,2025-01-01 19:18:00,2025-01-02 21:52:17.204052460,23.34,4828.0
S000000161,2025-01-01 19:34:00,2025-01-02 19:15:50.527956480,5.03,3594.0
S000000162,2025-01-01 18:54:00,2025-01-02 01:24:04.673021378,25.19,7470.0
S000000163,2025-01-01 12:44:00,2025-01-02 16:55:19.949462721,10.25,4657.0
S000000164,2025-01-01 18:58:00,2025-01-02 14:10:41.392989529,4.29,3582.0
S000000165,2025-01-01 19:07:00,2025-01-02 03:18:53.023524334,17.6,5721.0
S000000166,2025-01-02 01:32:00,2025-01-02 11:38:24.692259776,12.59,5437.0
S000000167,2025-01-01 21:25:00,2025-01-02 08:32:49.552732552,25.11,7523.0
S000000168,2025-01-01 23:45:00,2025-01-03 08:07:56.893501387,22.26,6068.0
S000000169,2025-01-01 15:21:00,2025-01-02 14:38:55.312292317,10.99,5134.0
S000000170,2025-01-01 08:30:00,2025-01-01 14:16:30.076845351,28.89,6403.0
S000000171,2025-01-01 08:28:00,2025-01-02 14:08:11.616415543,9.39,4300.0
S000000172,2025-01-01 05:04:00,2025-01-02 07:22:48.638051402,17.25,5867.0
S000000173,2025-01-01 12:44:00,2025-01-02 09:12:08.374271746,9.51,4142.0
S000000174,2025-01-01 06:00:00,2025-01-02 12:25:38.248482223,29.43,6690.0
S000000175,2025-01-01 15:56:00,2025-01-02 20:30:48.399370316,8.37,4527.0
S000000176,2025-01-01 05:39:00,2025-01-02 01:45:01.067363895,3.92,4392.0
S000000177,2025-01-02 07:32:00,2025-01-03 11:07:09.779436330,12.96,5140.0
S000000178,2025-01-01 22:59:00,2025-01-02 03:43:20.307001480,28.23,7510.0
S000000179,2025-01-02 01:05:00,2025-01-02 21:10:57.758963686,30.77,6883.0
S000000180,2025-01-01 17:15:00,2025-01-02 09:04:58.244076357,23.77,6073.0
S000000181,2025-01-01 13:39:00,2025-01-02 01:02:33.863308699,25.99,6404.0
S000000182,2025-01-01 15:49:00,2025-01-02 10:33:36.196723039,28.25,6884.0
S000000183,2025-01-02 02:48:00,2025-01-02 19:21:27.339138450,14.67,5425.0
S000000184,2025-01-02 02:07:00,2025-01-02 12:01:56.625948068,13.04,4083.0
S000000185,2025-01-02 01:18:00,2025-01-03 13:17:39.143053118,26.33,5781.0
S000000186,2025-01-01 09:43:00,2025-01-01 15:22:49.608087404,20.5,5194.0
S000000187,2025-01-01 02:04:00,2025-01-02 08:52:14.826071732,12.2,5688.0
S000000188,2025-01-02 02:08:00,2025-01-03 06:15:50.386067835,6.01,4442.0
S000000189,2025-01-02 00:54:00,2025-01-02 07:16:47.251851672,23.87,5726.0
S000000190,2025-01-01 22:39:00,2025-01-02 13:33:56.826984045,8.69,4618.0
S000000191,2025-01-01 13:50:00,2025-01-02 13:29:42.024899998,32.74,6214.0
S000000192,2025-01-01 14:41:00,2025-01-01 23:38:39.987365126,10.52,4201.0
S000000193,2025-01-01 10:35:00,2025-01-02 14:21:37.533803361,5.18,3565.0
S000000194,2025-01-02 01:20:00,2025-01-02 16:34:25.367005489,23.56,6491.0
S000000195,2025-01-02 09:19:00,2025-01-02 17:50:56.583069895,6.45,3727.0
S000000196,2025-01-01 03:06:00,2025-01-02 05:12:40.108569649,6.88,3990.0
S000000197,2025-01-01 21:45:00,2025-01-02 09:46:57.681792843,17.31,6319.0
S000000198,2025-01-01 07:53:00,2025-01-01 23:08:00.972904888,28.18,6764.0
S000000199,2025-01-01 21:44:00,2025-01-02 15:39:10.930773273,8.15,4301.0
S000000200,2025-01-02 00:21:00,2025-01-02 18:10:57.234456580,11.86,5616.0
S000000201,2025-01-01 16:22:00,2025-01-02 21:39:44.348836941,21.92,5382.0
S000000202,2025-01-01 23:52:00,2025-01-03 00:34:15.776806633,29.86,6990.0
S000000203,2025-01-02 03:51:00,2025-01-03 11:08:27.322611792,17.39,4979.0
S000000204,2025-01-01 16:07:00,2025-01-02 20:47:45.958010581,7.12,4090.0
S000000205,2025-01-02 06:15:00,2025-01-03 16:12:57.442890189,3.33,4030.0
S000000206,2025-01-01 19:15:00,2025-01-02 10:25:16.492930089,7.67,4424.0
S000000207,2025-01-01 11:53:00,2025-01-02 10:24:39.261454471,7.23,3826.0
S000000208,2025-01-01 17:48:00,2025-01-03 00:44:30.067636675,21.65,5104.0
S000000209,2025-01-02 04:45:00,2025-01-03 10:53:50.200669071,5.96,4464.0
S000000210,2025-01-01 07:03:00,2025-01-02 12:57:36.156480087,15.84,4931.0
S000000211,2025-01-02 00:06:00,2025-01-02 17:52:29.332529767,19.98,5301.0
S000000212,2025-01-01 17:29:00,2025-01-02 13:02:18.475276219,20.7,4724.0
S000000213,2025-01-01 19:47:00,2025-01-02 02:19:32.851950180,8.69,4731.0
S000000214,2025-01-02 01:13:00,2025-01-02 10:47:47.910858423,23.0,5046.0
S000000215,2025-01-01 05:51:00,2025-01-01 23:58:04.127281100,21.23,5720.0
S000000216,2025-01-01 11:47:00,2025-01-02 01:44:11.551126230,22.11,5594.0
S000000217,2025-01-02 01:53:00,2025-01-02 13:35:58.302620452,6.83,4344.0
S000000218,2025-01-01 20:06:00,2025-01-02 04:53:37.350311024,6.81,4478.0
S000000219,2025-01-01 14:40:00,2025-01-02 18:46:37.707161976,27.85,7338.0
S000000220,2025-01-01 21:14:00,2025-01-03 03:10:41.682832695,12.25,5259.0
S000000221,2025-01-02 02:13:00,2025-01-02 21:55:44.454771925,12.71,4988.0
S000000222,2025-01-01 13:33:00,2025-01-02 19:57:07.284845073,14.4,4282.0
S000000223,2025-01-02 06:13:00,2025-01-03 15:28:50.870973675,21.7,5904.0
S000000224,2025-01-01 09:31:00,2025-01-01 18:23:34.065260194,30.18,7365.0
S000000225,2025-01-01 22:55:00,2025-01-03 05:30:03.555910910,10.18,4782.0
S000000226,2025-01-02 00:20:00,2025-01-02 05:13:19.696910856,24.98,6508.0
S000000227,2025-01-01 15:31:00,2025-01-01 23:08:07.651237972,3.04,4196.0
S000000228,2025-01-01 08:11:00,2025-01-02 01:20:32.175514353,17.27,6078.0
S000000229,2025-01-01 16:21:00,2025-01-02 17:49:17.590600678,20.15,5995.0
S000000230,2025-01-01 21:17:00,2025-01-02 16:56:20.175712419,4.8,3651.0
S000000231,2025-01-02 04:54:00,2025-01-02 15:35:39.343017548,5.85,4175.0
S000000232,2025-01-02 02:50:00,2025-01-03 03:01:50.345062908,14.4,5227.0
S000000233,2025-01-01 19:44:00,2025-01-03 03:32:01.318727660,30.58,6257.0
S000000234,2025-01-01 11:10:00,2025-01-02 16:36:33.899882384,20.54,5046.0
S000000235,2025-01-02 00:52:00,2025-01-02 14:21:40.396901708,30.69,5185.0
S000000236,2025-01-02 03:10:00,2025-01-03 12:01:59.379518966,21.43,6985.0
S000000237,2025-01-01 15:56:00,2025-01-02 08:18:13.381198298,13.18,4972.0
S000000238,2025-01-02 00:27:00,2025-01-03 09:12:37.226001542,27.36,5636.0
S000000239,2025-01-01 08:38:00,2025-01-01 15:56:37.467897433,2.91,3464.0
S000000240,2025-01-01 23:55:00,2025-01-03 09:50:58.282760236,6.42,3611.0
S000000241,2025-01-01 15:44:00,2025-01-02 06:52:20.693129852,27.81,6165.0
S000000242,2025-01-01 08:30:00,2025-01-02 02:33:05.871755386,28.03,5386.0
S000000243,2025-01-01 07:02:00,2025-01-02 13:50:54.454706506,10.34,3815.0
S000000244,2025-01-01 14:08:00,2025-01-02 16:12:10.624185469,19.38,5281.0
S000000245,2025-01-01 14:43:00,2025-01-02 12:28:44.382651451,18.57,5370.0
S000000246,2025-01-01 07:14:00,2025-01-02 08:57:06.630734002,23.15,5432.0
S000000247,2025-01-01 18:16:00,2025-01-02 14:56:40.660698738,19.99,6010.0
S000000248,2025-01-01 14:04:00,2025-01-01 18:54:24.937278637,13.78,4792.0
S000000249,2025-01-01 14:10:00,2025-01-02 09:13:03.690868608,14.17,5543.0
S000000250,2025-01-02 00:23:00,2025-01-02 23:43:47.094101869,15.12,5736.0
S000000251,2025-01-01 09:01:00,2025-01-01 17:13:18.090938761,21.47,5810.0
S000000252,2025-01-01 10:40:00,2025-01-01 21:53:33.717693961,28.04,6152.0
S000000253,2025-01-01 03:35:00,2025-01-01 14:55:13.845569582,14.2,5183.0
S000000254,2025-01-01 05:34:00,2025-01-02 02:52:42.680536164,9.25,4116.0
S000000255,2025-01-01 22:50:00,2025-01-02 10:02:56.262131866,8.94,5401.0
S000000256,2025-01-01 13:57:00,2025-01-02 01:13:28.615167231,26.66,6465.0
S000000257,2025-01-02 00:26:00,2025-01-02 18:02:52.657345206,26.07,6225.0
S000000258,2025-01-01 18:28:00,2025-01-02 23:41:35.728517251,6.0,3671.0
S000000259,2025-01-01 06:50:00,2025-01-01 19:46:33.395273062,5.17,4004.0
S000000260,2025-01-01 14:24:00,2025-01-02 02:26:59.744948139,16.61,6214.0
S000000261,2025-01-01 22:11:00,2025-01-02 18:16:04.251107666,5.91,3821.0
S000000262,2025-01-01 21:25:00,2025-01-02 12:42:01.796876718,27.92,6886.0
S000000263,2025-01-01 19:46:00,2025-01-03 07:09:16.490038671,12.88,5550.0
S000000264,2025-01-01 15:50:00,2025-01-02 21:38:25.313868558,7.57,3619.0
S000000265,2025-01-02 00:12:00,2025-01-02 16:44:05.815782549,23.71,5705.0
S000000266,2025-01-02 00:23:00,2025-01-02 08:12:54.262567401,6.84,4588.0
S000000267,2025-01-01 08:40:00,2025-01-01 19:38:20.472905388,9.39,4376.0
S000000268,2025-01-01 04:20:00,2025-01-02 09:24:03.153813776,7.13,3930.0
S000000269,2025-01-01 09:16:00,2025-01-02 03:53:21.383840154,6.22,3622.0
S000000270,2025-01-01 19:02:00,2025-01-02 05:17:04.912759450,3.76,3971.0
S000000271,2025-01-01 07:07:00,2025-01-02 07:06:48.289826994,4.67,3942.0
S000000272,2025-01-01 17:42:00,2025-01-02 18:09:43.862282971,6.43,4416.0
S000000273,2025-01-01 04:21:00,2025-01-01 18:53:09.755434939,3.88,4270.0
S000000274,2025-01-01 08:46:00,2025-01-01 17:22:40.550429552,16.08,4871.0
S000000275,2025-01-01 23:45:00,2025-01-02 21:47:31.158756340,19.82,6065.0
S000000276,2025-01-01 17:16:00,2025-01-02 15:18:29.299085692,11.36,4954.0
S000000277,2025-01-01 23:52:00,2025-01-02 18:29:20.986928004,12.97,4753.0
S000000278,2025-01-01 09:29:00,2025-01-02 20:31:10.092585955,14.59,5380.0
S000000279,2025-01-01 22:01:00,2025-01-02 12:16:22.975635549,23.63,7113.0
S000000280,2025-01-01 17:49:00,2025-01-02 13:54:22.966330992,25.39,6617.0
S000000281,2025-01-02 01:40:00,2025-01-03 01:59:55.468713486,3.79,3821.0
S000000282,2025-01-01 09:53:00,2025-01-02 11:58:50.537615031,8.75,4335.0
S000000283,2025-01-01 09:16:00,2025-01-02 16:19:03.415198921,10.2,5092.0
S000000284,2025-01-01 11:11:00,2025-01-01 22:15:01.408326189,10.04,4150.0
S000000285,2025-01-01 23:51:00,2025-01-03 07:26:42.447027771,18.55,5201.0
S000000286,2025-01-02 03:16:00,2025-01-02 10:30:26.383580149,14.61,4562.0
S000000287,2025-01-01 18:52:00,2025-01-02 00:56:33.536364452,3.69,3536.0
S000000288,2025-01-01 23:32:00,2025-01-03 07:24:29.453858328,11.37,4918.0
S000000289,2025-01-01 08:44:00,2025-01-01 23:08:10.884768138,17.05,4622.0
S000000290,2025-01-02 07:10:00,2025-01-03 12:39:03.941820366,6.01,4374.0
S000000291,2025-01-02 02:53:00,2025-01-03 07:39:10.098711814,21.69,7288.0
S000000292,2025-01-01 16:17:00,2025-01-02 17:53:54.132450721,3.9,4003.0
S000000293,2025-01-01 18:58:00,2025-01-02 05:30:44.682609256,31.41,7386.0
S000000294,2025-01-01 10:56:00,2025-01-02 04:31:21.036945408,5.39,4583.0
S000000295,2025-01-01 06:02:00,2025-01-02 11:55:58.296457647,25.89,6071.0
S000000296,2025-01-01 11:49:00,2025-01-01 18:57:26.378861776,28.44,6880.0
S000000297,2025-01-01 08:04:00,2025-01-02 04:15:28.786179253,26.66,6362.0
S000000298,2025-01-01 11:38:00,2025-01-01 20:32:59.482607918,23.48,6976.0
S000000299,2025-01-01 14:56:00,2025-01-01 22:12:16.863060619,26.44,6126.0
S000000300,2025-01-01 03:12:00,2025-01-01 21:19:36.681077434,19.11,5302.0
S000000301,2025-01-01 18:58:00,2025-01-02 08:52:18.049866350,24.07,7114.0
S000000302,2025-01-01 11:26:00,2025-01-02 17:41:55.040961797,6.88,4583.0
S000000303,2025-01-02 01:12:00,2025-01-02 20:48:53.423035891,19.74,5132.0
S000000304,2025-01-02 05:50:00,2025-01-03 09:32:50.899017326,18.89,5528.0
S000000305,2025-01-01 08:21:00,2025-01-02 09:30:45.406668682,22.35,6006.0
S000000306,2025-01-01 05:45:00,2025-01-02 16:11:30.229541451,14.29,5549.0
S000000307,2025-01-01 17:21:00,2025-01-02 05:40:14.473480285,13.51,4812.0
S000000308,2025-01-01 09:29:00,2025-01-02 14:28:07.776508840,18.25,5614.0
S000000309,2025-01-02 00:10:00,2025-01-02 10:10:14.223893698,10.17,4490.0
S000000310,2025-01-01 10:59:00,2025-01-02 18:34:34.972362250,7.0,4409.0
S000000311,2025-01-01 09:22:00,2025-01-02 17:19:08.717325674,13.71,5548.0
S000000312,2025-01-02 01:37:00,2025-01-03 07:46:27.929488143,14.24,4950.0
S000000313,2025-01-01 21:44:00,2025-01-02 12:00:21.522718160,9.75,5117.0
S000000314,2025-01-01 13:13:00,2025-01-01 21:54:41.962708680,12.18,5466.0
S000000315,2025-01-02 00:59:00,2025-01-03 07:58:02.129485131,10.92,4374.0
S000000316,2025-01-01 17:29:00,2025-01-02 16:20:59.468571687,13.27,5073.0
