order_id,line_no,pick_seconds,pack_seconds,cycle_time_seconds
O000000040,3,20,16,36
O000000041,1,38,13,51
O000000041,2,30,22,52
O000000042,1,22,14,36
O000000043,1,32,25,57
O000000043,2,22,28,50
O000000044,1,110,67,177
O000000045,1,30,21,51
O000000045,2,28,29,57
O000000045,3,26,16,42
O000000046,1,35,18,53
O000000046,2,28,26,54
O000000046,3,20,27,47
O000000047,1,127,176,303
O000000048,1,44,25,69
O000000048,2,43,23,66
O000000049,1,37,26,63
O000000049,2,25,21,46
O000000050,1,44,26,70
O000000050,2,39,21,60
O000000051,1,75,39,114
O000000052,1,90,60,150
O000000053,1,25,14,39
O000000054,1,21,26,47
O000000054,2,42,15,57
O000000054,3,30,22,52
O000000055,1,47,24,71
O000000056,1,26,23,49
O000000056,2,34,17,51
O000000057,1,23,27,50
O000000057,2,41,13,54
O000000058,1,38,20,58
O000000058,2,112,57,169
O000000059,1,30,15,45
O000000060,1,105,52,157
O000000060,2,68,46,114
O000000061,1,36,17,53
O000000062,1,61,57,118
O000000063,1,29,29,58
O000000063,2,19,18,37
O000000063,3,31,25,56
O000000064,1,27,14,41
O000000064,2,44,43,87
O000000065,1,42,27,69
O000000066,1,34,29,63
O000000067,1,23,25,48
O000000067,2,43,23,66
O000000067,3,34,15,49
O000000068,1,27,22,49
O000000069,1,34,28,62
O000000069,2,19,17,36
O000000070,1,44,14,58
O000000070,2,31,28,59
O000000071,1,39,13,52
O000000071,2,20,14,34
O000000071,3,31,20,51
O000000072,1,31,16,47
O000000072,2,43,21,64
O000000073,1,33,28,61
O000000073,2,31,23,54
O000000073,3,25,20,45
O000000074,1,27,19,46
O000000074,2,32,14,46
O000000074,3,30,22,52
O000000075,1,19,30,49
O000000075,2,40,25,65
O000000076,1,42,20,62
O000000077,1,22,26,48
O000000077,2,33,27,60
O000000078,1,21,21,42
O000000078,2,36,21,57
O000000079,1,154,158,312
O000000080,1,107,77,184
O000000081,1,38,19,57
O000000081,2,39,14,53
O000000082,1,21,24,45
O000000083,1,43,27,70
O000000083,2,24,14,38
O000000084,1,76,90,166
O000000085,1,66,49,115
O000000085,2,28,23,51
O000000085,3,40,18,58
O000000086,1,40,25,65
O000000086,2,27,26,53
O000000087,1,44,18,62
O000000088,1,26,24,50
O000000088,2,32,13,45
O000000089,1,25,21,46
O000000089,2,43,24,67
O000000089,3,22,20,42
O000000090,1,19,24,43
O000000090,2,30,27,57
O000000091,1,134,62,196
O000000091,2,42,20,62
O000000092,1,38,26,64
O000000092,2,42,22,64
O000000093,1,42,19,61
O000000094,1,128,70,198
O000000095,1,27,17,44
O000000095,2,39,26,65
O000000096,1,36,16,52
O000000097,1,56,52,108
O000000097,2,21,27,48
O000000098,1,38,28,66
O000000098,2,25,22,47
O000000099,1,43,20,63
O000000099,2,25,26,51
O000000100,1,21,25,46
O000000100,2,40,14,54
O000000101,1,66,39,105
O000000102,1,23,26,49
O000000102,2,34,21,55
O000000103,1,42,28,70
O000000103,2,23,20,43
O000000103,3,26,13,39
O000000104,1,39,28,67
O000000104,2,44,19,63
O000000105,1,63,49,112
O000000106,1,66,48,114
O000000107,1,37,37,74
O000000107,2,24,26,50
O000000108,1,22,26,48
O000000108,2,36,18,54
O000000108,3,21,13,34
O000000109,1,32,29,61
O000000110,1,37,25,62
O000000110,2,34,29,63
O000000110,3,23,30,53
O000000111,1,40,26,66
O000000111,2,37,16,53
O000000112,1,38,22,60
O000000112,2,22,30,52
O000000112,3,21,12,33
O000000113,1,43,22,65
O000000113,2,57,25,82
O000000114,1,78,50,128
O000000114,2,31,26,57
O000000114,3,36,26,62
O000000115,1,44,17,61
O000000115,2,26,14,40
O000000115,3,43,14,57
O000000116,1,19,28,47
O000000116,2,33,26,59
O000000116,3,35,24,59
O000000117,1,21,16,37
O000000118,1,22,21,43
O000000118,2,29,18,47
O000000119,1,44,27,71
O000000119,2,34,29,63
O000000120,1,43,14,57
O000000120,2,40,14,54
O000000120,3,31,14,45
O000000121,1,78,42,120
O000000122,1,18,15,33
O000000122,2,21,26,47
O000000122,3,40,26,66
O000000123,1,79,50,129
O000000124,1,24,22,46
O000000124,2,32,19,51
O000000124,3,34,23,57
O000000125,1,41,25,66
O000000125,2,34,29,63
O000000126,1,29,23,52
O000000126,2,28,28,56
O000000126,3,29,19,48
O000000127,1,107,65,172
O000000128,1,41,23,64
O000000128,2,30,27,57
O000000128,3,25,27,52
O000000129,1,24,28,52
O000000129,2,38,25,63
O000000130,1,40,30,70
O000000130,2,21,30,51
O000000130,3,40,60,100
O000000131,1,102,49,151
O000000132,1,22,23,45
O000000132,2,81,60,141
O000000132,3,53,51,104
O000000133,1,22,28,50
O000000133,2,43,12,55
O000000133,3,22,19,41
O000000134,1,26,16,42
O000000134,2,22,29,51
O000000134,3,21,20,41
O000000135,1,19,24,43
O000000136,1,19,15,34
O000000136,2,23,18,41
O000000136,3,19,29,48
O000000137,1,34,29,63
O000000137,2,36,19,55
O000000138,1,29,12,41
O000000138,2,27,24,51
O000000139,1,158,79,237
O000000140,1,42,21,63
O000000140,2,41,17,58
O000000141,1,19,16,35
O000000141,2,23,19,42
O000000141,3,24,22,46
O000000142,1,49,31,80
O000000142,2,67,56,123
O000000142,3,29,24,53
O000000143,1,19,16,35
O000000143,2,28,28,56
O000000144,1,32,26,58
O000000144,2,21,21,42
O000000144,3,41,23,64
O000000145,1,19,16,35
O000000146,1,86,25,111
O000000147,1,21,24,45
O000000148,1,163,60,223
O000000148,2,42,15,57
O000000148,3,44,26,70
O000000149,1,79,40,119
O000000149,2,39,15,54
O000000149,3,35,16,51
O000000150,1,195,63,258
O000000151,1,22,28,50
O000000152,1,32,14,46
O000000152,2,32,14,46
O000000153,1,41,13,54
O000000153,2,30,14,44
O000000154,1,28,18,46
O000000154,2,35,26,61
O000000154,3,25,12,37
O000000155,1,44,53,97
O000000156,1,185,95,280
O000000157,1,29,28,57
O000000157,2,24,24,48
O000000157,3,28,25,53
O000000158,1,112,115,227
O000000158,2,27,15,42
O000000158,3,28,15,43
O000000159,1,73,41,114
O000000160,1,130,75,205
O000000161,1,44,18,62
O000000161,2,43,19,62
O000000161,3,31,19,50
O000000162,1,81,48,129
O000000163,1,32,22,54
O000000164,1,82,53,135
O000000164,2,142,116,258
O000000165,1,40,20,60
O000000165,2,32,13,45
O000000165,3,35,27,62
O000000166,1,26,28,54
O000000167,1,76,40,116
O000000167,2,23,15,38
O000000167,3,37,12,49
O000000168,1,41,26,67
O000000168,2,43,54,97
O000000169,1,35,26,61
O000000169,2,21,16,37
O000000170,1,150,90,240
O000000171,1,81,103,184
O000000172,1,43,24,67
O000000173,1,22,22,44
O000000173,2,44,26,70
O000000174,1,40,29,69
O000000174,2,34,17,51
O000000174,3,39,30,69
O000000175,1,39,14,53
O000000175,2,44,19,63
O000000175,3,25,15,40
O000000176,1,34,18,52
O000000176,2,21,21,42
O000000176,3,35,28,63
O000000177,1,23,27,50
O000000177,2,33,16,49
O000000178,1,134,103,237
O000000179,1,31,19,50
O000000180,1,32,24,56
O000000180,2,39,16,55
O000000181,1,158,77,235
O000000182,1,63,55,118
O000000183,1,68,24,92
O000000183,2,43,29,72
O000000183,3,21,22,43
O000000184,1,21,23,44
O000000184,2,20,16,36
O000000184,3,36,19,55
O000000185,1,29,22,51
O000000185,2,39,13,52
O000000185,3,36,29,65
O000000186,1,27,21,48
O000000186,2,42,27,69
O000000186,3,39,27,66
O000000187,1,25,22,47
O000000187,2,28,26,54
O000000187,3,26,13,39
O000000188,1,22,15,37
O000000188,2,22,18,40
O000000188,3,43,24,67
O000000189,1,30,27,57
O000000189,2,28,27,55
O000000189,3,38,12,50
O000000190,1,33,19,52
O000000190,2,43,30,73
O000000191,1,39,27,66
O000000191,2,31,30,61
O000000191,3,28,24,52
O000000192,1,45,30,75
O000000192,2,37,20,57
O000000192,3,44,21,65
O000000193,1,42,56,98
O000000194,1,41,23,64
O000000195,1,35,30,65
O000000195,2,21,18,39
O000000196,1,34,15,49
O000000196,2,37,26,63
O000000197,1,18,25,43
O000000197,2,30,14,44
O000000198,1,40,14,54
O000000198,2,26,19,45
O000000199,1,30,23,53
O000000199,2,30,13,43
O000000200,1,26,26,52
O000000200,2,43,29,72
O000000200,3,39,24,63
O000000201,1,42,31,73
O000000201,2,45,26,71
O000000201,3,42,22,64
O000000202,1,26,15,41
O000000202,2,41,19,60
O000000202,3,21,14,35
O000000203,1,45,26,71
O000000203,2,36,24,60
O000000203,3,36,24,60
O000000204,1,20,13,33
O000000204,2,42,14,56
O000000204,3,19,16,35
O000000205,1,25,29,54
O000000205,2,22,25,47
O000000206,1,117,47,164
O000000207,1,23,28,51
O000000208,1,43,22,65
O000000208,2,36,27,63
O000000209,1,19,18,37
O000000209,2,18,24,42
O000000209,3,19,29,48
O000000210,1,34,13,47
O000000210,2,40,28,68
O000000211,1,49,39,88
O000000211,2,41,15,56
O000000212,1,20,16,36
O000000212,2,40,22,62
O000000213,1,43,19,62
O000000214,1,39,20,59
O000000214,2,37,27,64
O000000214,3,41,19,60
O000000215,1,19,27,46
O000000215,2,47,40,87
O000000216,1,64,84,148
O000000216,2,32,30,62
O000000216,3,38,23,61
O000000217,1,35,29,64
O000000217,2,41,28,69
O000000217,3,22,20,42
O000000218,1,38,21,59
O000000218,2,23,18,41
O000000219,1,25,30,55
O000000220,1,37,16,53
O000000220,2,44,17,61
O000000221,1,35,23,58
O000000221,2,39,48,87
O000000222,1,35,12,47
O000000222,2,19,25,44
O000000222,3,42,14,56
O000000223,1,37,27,64
O000000223,2,23,13,36
O000000224,1,20,24,44
O000000224,2,23,21,44
O000000225,1,44,28,72
O000000225,2,30,13,43
O000000225,3,39,24,63
O000000226,1,106,45,151
O000000227,1,33,17,50
O000000227,2,22,27,49
O000000228,1,44,27,71
O000000228,2,26,24,50
O000000228,3,34,23,57
O000000229,1,37,25,62
O000000229,2,36,26,62
O000000229,3,43,29,72
O000000230,1,44,32,76
O000000230,2,32,16,48
O000000230,3,29,14,43
O000000231,1,31,30,61
O000000231,2,21,13,34
O000000232,1,86,100,186
O000000233,1,179,185,364
O000000234,1,26,23,49
O000000234,2,30,26,56
O000000234,3,34,21,55
O000000235,1,35,15,50
O000000235,2,29,20,49
O000000236,1,58,46,104
O000000237,1,24,18,42
O000000237,2,34,13,47
O000000237,3,27,16,43
O000000238,1,19,29,48
O000000238,2,29,17,46
O000000239,1,31,23,54
O000000239,2,24,22,46
O000000240,1,33,26,59
O000000241,1,33,16,49
O000000241,2,37,24,61
O000000241,3,35,24,59
O000000242,1,107,59,166
O000000243,1,27,22,49
O000000243,2,39,28,67
O000000243,3,33,19,52
O000000244,1,30,25,55
O000000244,2,35,17,52
O000000245,1,28,20,48
O000000245,2,32,15,47
O000000245,3,38,24,62
O000000246,1,42,25,67
O000000246,2,43,19,62
O000000247,1,32,17,49
O000000247,2,64,25,89
O000000248,1,40,25,65
O000000249,1,26,24,50
O000000250,1,41,13,54
O000000250,2,31,13,44
O000000251,1,21,14,35
O000000251,2,20,29,49
O000000251,3,41,24,65
O000000252,1,20,14,34
O000000252,2,26,25,51
O000000252,3,27,17,44
O000000253,1,23,26,49
O000000253,2,26,22,48
O000000253,3,38,14,52
O000000254,1,55,53,108
O000000254,2,40,19,59
O000000255,1,82,29,111
O000000256,1,28,28,56
O000000256,2,22,23,45
O000000257,1,34,17,51
O000000257,2,21,22,43
O000000257,3,28,28,56
O000000258,1,132,45,177
O000000259,1,135,79,214
O000000260,1,39,30,69
O000000260,2,26,21,47
O000000260,3,37,25,62
O000000261,1,37,22,59
O000000261,2,28,15,43
O000000261,3,35,19,54
O000000262,1,91,122,213
O000000263,1,47,52,99
O000000264,1,129,106,235
O000000265,1,22,27,49
O000000265,2,22,28,50
O000000266,1,41,30,71
O000000266,2,45,22,67
O000000266,3,33,21,54
O000000267,1,81,39,120
O000000268,1,45,22,67
O000000268,2,22,17,39
O000000268,3,30,27,57
O000000269,1,29,19,48
O000000269,2,20,26,46
O000000269,3,38,16,54
O000000270,1,30,17,47
O000000270,2,31,20,51
O000000270,3,22,26,48
O000000271,1,69,44,113
O000000272,1,127,40,167
O000000273,1,58,58,116
O000000273,2,49,47,96
O000000274,1,26,23,49
O000000274,2,31,27,58
O000000275,1,68,34,102
O000000275,2,188,72,260
O000000276,1,41,35,76
O000000277,1,25,20,45
O000000278,1,82,50,132
O000000279,1,35,14,49
O000000279,2,36,21,57
O000000280,1,36,18,54
O000000280,2,39,27,66
O000000281,1,39,26,65
O000000282,1,84,83,167
O000000283,1,98,76,174
O000000284,1,27,21,48
O000000284,2,41,17,58
O000000285,1,155,77,232
O000000286,1,116,39,155
O000000287,1,41,15,56
O000000288,1,63,55,118
O000000288,2,43,29,72
O000000288,3,34,15,49
O000000289,1,164,97,261
O000000290,1,27,23,50
O000000290,2,31,26,57
O000000290,3,32,15,47
O000000291,1,21,30,51
O000000292,1,29,30,59
O000000292,2,43,23,66
O000000293,1,35,24,59
O000000293,2,23,22,45
O000000294,1,54,45,99
O000000295,1,46,53,99
O000000295,2,19,15,34
O000000296,1,86,37,123
O000000296,2,30,13,43
O000000297,1,26,29,55
O000000297,2,34,27,61
O000000297,3,18,27,45
O000000298,1,26,16,42
O000000298,2,37,18,55
O000000298,3,35,30,65
O000000299,1,45,16,61
O000000300,1,35,26,61
O000000300,2,31,19,50
O000000301,1,77,42,119
O000000301,2,85,29,114
O000000302,1,37,28,65
O000000302,2,44,27,71
O000000303,1,39,14,53
O000000303,2,83,57,140
O000000303,3,21,18,39
O000000304,1,38,20,58
O000000304,2,30,29,59
O000000304,3,33,26,59
O000000305,1,71,30,101
O000000305,2,88,41,129
O000000306,1,89,39,128
O000000307,1,26,24,50
O000000307,2,38,21,59
O000000308,1,38,24,62
O000000308,2,27,24,51
O000000308,3,21,20,41
O000000309,1,38,32,70
O000000309,2,39,21,60
O000000310,1,31,21,52
O000000310,2,45,20,65
O000000310,3,31,19,50
O000000311,1,44,26,70
O000000311,2,29,29,58
O000000312,1,39,15,54
O000000312,2,20,15,35
O000000313,1,33,28,61
O000000313,2,40,16,56
O000000314,1,43,15,58
O000000314,2,40,21,61
O000000315,1,38,48,86
O000000315,2,28,29,57
O000000315,3,19,27,46
O000000316,1,21,23,44
O000000317,1,36,18,54
O000000318,1,112,48,160
O000000318,2,39,13,52
O000000319,1,165,81,246
O000000320,1,114,86,200
O000000321,1,40,24,64
O000000321,2,19,28,47
O000000321,3,24,15,39
O000000322,1,35,21,56
O000000323,1,41,27,68
O000000323,2,18,20,38
O000000324,1,128,72,200
O000000325,1,109,63,172
O000000326,1,19,25,44
O000000326,2,29,25,54
O000000326,3,42,28,70
O000000327,1,36,15,51
O000000327,2,24,21,45
O000000327,3,41,18,59
O000000328,1,27,17,44
O000000328,2,41,20,61
O000000329,1,78,82,160
O000000330,1,34,16,50
O000000330,2,29,28,57
O000000330,3,25,17,42
O000000331,1,84,39,123
O000000331,2,23,15,38
O000000332,1,20,17,37
O000000332,2,27,14,41
O000000333,1,112,49,161
O000000334,1,40,17,57
O000000334,2,45,16,61
O000000334,3,26,27,53
O000000335,1,29,22,51
O000000335,2,22,15,37
O000000336,1,34,30,64
O000000336,2,180,103,283
O000000337,1,37,26,63
O000000337,2,34,29,63
O000000337,3,29,23,52
O000000338,1,43,29,72
O000000338,2,63,33,96
O000000338,3,22,26,48
O000000339,1,28,22,50
O000000339,2,20,24,44
O000000339,3,23,27,50
O000000340,1,18,20,38
O000000340,2,30,13,43
O000000340,3,35,20,55
O000000341,1,27,29,56
O000000341,2,29,23,52
O000000342,1,44,30,74
O000000342,2,38,18,56
O000000343,1,33,29,62
O000000343,2,26,23,49
O000000343,3,42,18,60
O000000344,1,24,23,47
O000000344,2,27,26,53
O000000345,1,43,19,62
O000000346,1,129,115,244
O000000347,1,76,44,120
O000000347,2,34,20,54
O000000347,3,36,27,63
O000000348,1,78,44,122
O000000349,1,49,29,78
O000000350,1,27,28,55
O000000350,2,22,24,46
O000000350,3,42,21,63
O000000351,1,26,29,55
O000000352,1,99,57,156
O000000353,1,39,19,58
O000000353,2,39,23,62
O000000353,3,30,19,49
O000000354,1,31,23,54
O000000354,2,45,18,63
O000000355,1,145,90,235
O000000355,2,40,20,60
O000000355,3,42,26,68
O000000356,1,79,46,125
O000000356,2,46,36,82
O000000356,3,33,25,58
O000000357,1,21,21,42
O000000357,2,36,27,63
O000000357,3,44,27,71
O000000358,1,32,27,59
O000000358,2,30,15,45
O000000359,1,19,17,36
O000000359,2,44,13,57
O000000359,3,21,21,42
O000000360,1,38,44,82
O000000361,1,74,61,135
O000000362,1,20,23,43
O000000362,2,30,28,58
O000000363,1,96,75,171
O000000363,2,26,24,50
O000000364,1,78,57,135
O000000365,1,42,43,85
O000000365,2,28,18,46
O000000366,1,20,25,45
O000000366,2,37,18,55
O000000367,1,47,30,77
O000000368,1,52,51,103
O000000369,1,57,42,99
O000000370,1,58,54,112
O000000370,2,18,28,46
O000000371,1,21,25,46
O000000371,2,41,26,67
O000000372,1,18,18,36
O000000372,2,32,21,53
O000000373,1,31,15,46
O000000373,2,54,42,96
O000000374,1,59,44,103
O000000374,2,78,26,104
O000000375,1,81,52,133
O000000375,2,25,18,43
O000000375,3,27,21,48
O000000376,1,49,37,86
O000000376,2,31,29,60
O000000376,3,36,23,59
O000000377,1,24,30,54
O000000378,1,54,26,80
O000000378,2,43,27,70
O000000379,1,39,48,87
O000000380,1,91,78,169
O000000380,2,37,29,66
O000000381,1,22,29,51
O000000381,2,19,28,47
O000000382,1,22,30,52
O000000382,2,43,27,70
O000000383,1,18,13,31
O000000384,1,115,94,209
O000000385,1,19,29,48
O000000385,2,21,15,36
O000000385,3,35,24,59
O000000386,1,25,21,46
O000000386,2,33,28,61
O000000387,1,34,23,57
O000000388,1,41,20,61
O000000389,1,91,111,202
O000000389,2,41,15,56
O000000389,3,35,12,47
O000000390,1,22,24,46
O000000390,2,39,24,63
O000000390,3,41,12,53
O000000391,1,25,16,41
O000000391,2,43,28,71
O000000392,1,30,16,46
O000000392,2,34,18,52
O000000393,1,134,44,178
O000000393,2,83,64,147
O000000394,1,40,23,63
O000000394,2,27,18,45
O000000394,3,40,17,57
O000000395,1,34,17,51
O000000396,1,24,30,54
O000000396,2,29,20,49
O000000396,3,53,51,104
O000000397,1,40,41,81
O000000397,2,19,24,43
O000000397,3,27,13,40
O000000398,1,19,18,37
O000000398,2,22,28,50
O000000398,3,38,29,67
O000000399,1,37,26,63
O000000399,2,38,12,50
O000000399,3,27,14,41
O000000400,1,126,83,209
O000000401,1,34,13,47
O000000401,2,21,19,40
O000000402,1,22,18,40
O000000402,2,37,14,51
O000000403,1,23,18,41
O000000403,2,32,15,47
O000000404,1,45,25,70
O000000404,2,18,23,41
O000000405,1,37,42,79
O000000405,2,45,27,72
O000000406,1,34,22,56
O000000406,2,21,29,50
O000000406,3,84,54,138
O000000407,1,42,26,68
O000000407,2,32,16,48
O000000408,1,35,20,55
O000000408,2,25,18,43
O000000408,3,19,27,46
O000000409,1,68,41,109
O000000409,2,52,55,107
O000000410,1,36,29,65
O000000410,2,41,18,59
O000000411,1,18,30,48
O000000412,1,34,28,62
O000000413,1,24,28,52
O000000413,2,42,26,68
O000000414,1,50,53,103
O000000414,2,34,21,55
O000000415,1,33,23,56
O000000415,2,57,32,89
O000000416,1,36,14,50
O000000416,2,150,116,266
O000000417,1,67,36,103
O000000418,1,77,35,112
O000000418,2,45,25,70
O000000418,3,29,21,50
O000000419,1,32,13,45
O000000419,2,37,40,77
O000000420,1,39,21,60
O000000420,2,64,24,88
O000000421,1,29,27,56
O000000421,2,41,42,83
O000000422,1,42,24,66
O000000423,1,86,38,124
O000000424,1,73,51,124
O000000424,2,22,17,39
O000000425,1,44,22,66
O000000425,2,23,25,48
O000000426,1,47,36,83
O000000426,2,41,21,62
O000000426,3,43,19,62
O000000427,1,24,14,38
O000000427,2,31,17,48
O000000428,1,38,26,64
O000000428,2,42,15,57
O000000429,1,113,49,162
O000000430,1,64,29,93
O000000431,1,76,26,102
O000000431,2,75,43,118
O000000431,3,39,23,62
O000000432,1,33,26,59
O000000432,2,21,27,48
O000000433,1,127,87,214
O000000434,1,41,28,69
O000000434,2,40,15,55
O000000434,3,21,17,38
O000000435,1,24,27,51
O000000436,1,38,13,51
O000000436,2,19,13,32
O000000436,3,44,19,63
O000000437,1,28,19,47
O000000437,2,37,25,62
O000000438,1,168,116,284
O000000438,2,29,17,46
O000000439,1,27,19,46
O000000439,2,34,28,62
O000000439,3,34,19,53
O000000440,1,29,25,54
O000000440,2,34,28,62
O000000441,1,43,20,63
O000000441,2,31,15,46
O000000441,3,23,29,52
O000000442,1,28,23,51
O000000442,2,29,18,47
O000000442,3,22,14,36
O000000443,1,22,23,45
O000000444,1,73,48,121
O000000444,2,27,12,39
O000000445,1,88,44,132
O000000445,2,25,30,55
O000000445,3,21,23,44
O000000446,1,77,49,126
O000000447,1,42,24,66
O000000447,2,26,24,50
O000000447,3,23,29,52
O000000448,1,46,28,74
O000000449,1,96,68,164
O000000450,1,123,62,185
O000000451,1,25,13,38
O000000451,2,38,47,85
O000000452,1,62,38,100
O000000453,1,44,19,63
O000000454,1,107,80,187
O000000455,1,31,16,47
O000000455,2,21,21,42
O000000456,1,25,14,39
O000000456,2,26,30,56
O000000456,3,39,16,55
O000000457,1,42,20,62
O000000457,2,42,24,66
O000000457,3,45,30,75
O000000458,1,134,45,179
O000000459,1,175,109,284
O000000460,1,60,51,111
O000000461,1,22,23,45
O000000461,2,26,14,40
O000000462,1,132,74,206
O000000463,1,21,14,35
O000000463,2,82,34,116
O000000464,1,35,26,61
O000000465,1,33,14,47
O000000465,2,22,26,48
O000000466,1,25,29,54
O000000466,2,22,18,40
O000000467,1,41,28,69
O000000468,1,34,20,54
O000000469,1,38,28,66
O000000470,1,26,12,38
O000000470,2,28,16,44
O000000471,1,29,25,54
O000000471,2,39,22,61
O000000472,1,39,16,55
O000000473,1,24,20,44
O000000473,2,43,21,64
O000000473,3,21,13,34
O000000474,1,127,74,201
O000000474,2,21,28,49
O000000475,1,50,36,86
O000000476,1,82,57,139
O000000477,1,114,146,260
O000000478,1,29,18,47
O000000478,2,30,18,48
O000000478,3,25,26,51
O000000479,1,74,55,129
O000000480,1,123,46,169
O000000481,1,42,15,57
O000000482,1,54,37,91
O000000482,2,65,42,107
O000000483,1,25,29,54
O000000483,2,49,35,84
O000000484,1,22,22,44
O000000484,2,43,26,69
O000000484,3,42,27,69
O000000485,1,78,45,123
O000000485,2,32,21,53
O000000485,3,31,15,46
O000000486,1,32,29,61
O000000486,2,32,19,51
O000000486,3,30,24,54
O000000487,1,65,64,129
O000000488,1,43,27,70
O000000489,1,87,36,123
O000000489,2,62,28,90
O000000490,1,44,21,65
O000000490,2,22,13,35
O000000490,3,33,28,61
O000000491,1,24,28,52
O000000491,2,25,22,47
O000000491,3,19,21,40
O000000492,1,64,73,137
O000000492,2,43,13,56
O000000493,1,53,51,104
O000000494,1,34,26,60
O000000494,2,31,28,59
O000000495,1,29,12,41
O000000496,1,65,34,99
O000000497,1,46,39,85
O000000498,1,45,20,65
O000000498,2,40,16,56
O000000499,1,38,19,57
O000000499,2,31,25,56
O000000499,3,22,17,39
O000000500,1,43,29,72
O000000500,2,27,14,41
O000000500,3,19,16,35
O000000501,1,54,28,82
O000000502,1,39,13,52
O000000502,2,35,30,65
O000000502,3,38,22,60
O000000503,1,39,14,53
O000000503,2,24,19,43
O000000503,3,43,28,71
O000000504,1,30,28,58
O000000505,1,35,20,55
O000000505,2,18,21,39
O000000505,3,45,25,70
O000000506,1,51,59,110
O000000507,1,20,14,34
O000000507,2,30,20,50
O000000507,3,21,25,46
O000000508,1,22,26,48
O000000508,2,35,20,55
O000000509,1,114,109,223
O000000510,1,43,19,62
O000000510,2,27,18,45
O000000510,3,38,18,56
O000000511,1,30,29,59
O000000511,2,72,31,103
O000000512,1,34,19,53
O000000513,1,62,25,87
O000000514,1,44,28,72
O000000514,2,27,14,41
O000000515,1,23,30,53
O000000515,2,36,24,60
O000000516,1,41,19,60
O000000516,2,19,20,39
O000000516,3,30,23,53
O000000517,1,42,22,64
O000000517,2,38,29,67
O000000518,1,45,15,60
O000000518,2,32,27,59
O000000518,3,36,14,50
O000000519,1,26,24,50
O000000519,2,44,25,69
O000000520,1,84,44,128
O000000520,2,76,26,102
O000000521,1,29,21,50
O000000521,2,33,22,55
O000000521,3,37,27,64
O000000522,1,32,27,59
O000000522,2,42,27,69
O000000523,1,29,26,55
O000000523,2,35,24,59
O000000523,3,27,18,45
O000000524,1,29,23,52
O000000524,2,30,28,58
O000000524,3,21,15,36
O000000525,1,20,12,32
O000000526,1,36,28,64
O000000526,2,36,17,53
O000000527,1,36,16,52
O000000527,2,19,14,33
O000000528,1,80,52,132
O000000528,2,23,23,46
O000000528,3,39,15,54
O000000529,1,82,44,126
O000000529,2,25,28,53
O000000529,3,72,59,131
O000000530,1,64,47,111
O000000531,1,25,30,55
O000000532,1,22,19,41
O000000532,2,26,28,54
O000000532,3,36,25,61
O000000533,1,128,81,209
O000000534,1,23,28,51
O000000534,2,33,15,48
O000000535,1,37,13,50
O000000535,2,44,29,73
O000000536,1,34,26,60
O000000536,2,50,40,90
O000000537,1,35,16,51
O000000537,2,27,17,44
O000000537,3,44,20,64
O000000538,1,29,25,54
O000000538,2,37,26,63
O000000538,3,19,29,48
O000000539,1,58,54,112
O000000540,1,83,37,120
O000000540,2,34,21,55
