region_name,product_category,shipment_count,avg_route_distance_km,avg_vehicle_utilization,on_time_delivery_rate,late_delivery_risk_score,risk_level,business_action
강서구,헬스케어,6,6.52,0.5419040619392502,0.8476771623644036,0.3948124877169563,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
관악구,반려용품,8,20.96,0.5328764734211763,0.8553427196023997,0.37132466856902835,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
광진구,생활용품,9,20.53,0.47248212124941374,0.7821818586969067,0.5227306661485837,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
구로구,식품,1,27.2,0.8866199681769404,0.75,0.7657944961552119,High,고위험 권역 임시 차량 배치 및 권역 재조정
금천구,디지털,4,13.43,0.7967527121780302,0.810671909162736,0.5044231797425509,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
노원구,패션,2,12.46,0.46997323280881326,0.8808787133487868,0.3241291469870479,Low,고위험 권역 임시 차량 배치 및 권역 재조정
도봉구,헬스케어,4,16.42,0.4641461528190573,0.8810973917760565,0.27721363341021776,Low,고위험 권역 임시 차량 배치 및 권역 재조정
동대문구,반려용품,3,8.44,0.7293371482375279,0.8964089652921636,0.30049574369805876,Low,고위험 권역 임시 차량 배치 및 권역 재조정
동작구,생활용품,2,6.08,0.5912672006433555,0.8415452628644614,0.39604149518199266,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
마포구,식품,7,16.6,0.7483631752159643,0.8568503791016253,0.39716160933922384,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서대문구,디지털,5,9.79,0.6673020878404826,0.8543730965549602,0.33094245506644826,Low,고위험 권역 임시 차량 배치 및 권역 재조정
서초구,패션,8,20.54,0.9116562811551272,0.75,0.6097053219054883,High,고위험 권역 임시 차량 배치 및 권역 재조정
성동구,헬스케어,1,12.48,0.5939045074806839,0.876940538463109,0.3097904037064614,Low,고위험 권역 임시 차량 배치 및 권역 재조정
성북구,반려용품,1,26.02,0.7895726842194467,0.7778918577792745,0.6188989242390229,High,고위험 권역 임시 차량 배치 및 권역 재조정
송파구,생활용품,4,25.26,0.4770271558092996,0.8104593870281583,0.5172787417371227,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
양천구,식품,1,12.94,0.9279302670944627,0.7913496166073134,0.5631260474898155,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
영등포구,디지털,3,26.48,0.940378733954176,0.75,0.7340671175148695,High,고위험 권역 임시 차량 배치 및 권역 재조정
용산구,패션,9,22.21,0.8195373145082061,0.75,0.690668099181206,High,고위험 권역 임시 차량 배치 및 권역 재조정
은평구,헬스케어,3,13.41,0.6826062357817866,0.8610471171871249,0.37139270912500216,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
종로구,반려용품,2,10.17,0.5599967196636306,0.8385244213888449,0.42858436267177313,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
중구,생활용품,5,18.05,0.8562581701239823,0.75,0.6381958397496067,High,고위험 권역 임시 차량 배치 및 권역 재조정
중랑구,식품,5,5.83,0.8181770485735111,0.8627158455940701,0.39849325197077423,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강남구,디지털,5,8.25,0.5609770197804745,0.8162340207767691,0.4174533398065113,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강동구,패션,4,3.22,0.6756076470786329,0.8581392364751148,0.3148294169973268,Low,고위험 권역 임시 차량 배치 및 권역 재조정
강북구,헬스케어,7,20.84,0.6813994689083925,0.8850461859735419,0.36480662363797534,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강서구,반려용품,2,18.89,0.8632052749863546,0.8164636320661631,0.5168800191100433,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
관악구,생활용품,4,23.82,0.7919223421670383,0.7766738686163633,0.5604741293309037,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
광진구,식품,6,26.64,0.7715837717700276,0.7926843316026514,0.551609378829199,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
구로구,디지털,8,12.87,0.7749137112816391,0.8139292848770259,0.4833330286098595,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
금천구,패션,4,15.8,0.5852350396912395,0.7712439356575331,0.43955367726548356,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
노원구,헬스케어,5,6.89,0.635855629914767,0.8454962309662374,0.33249797155512856,Low,고위험 권역 임시 차량 배치 및 권역 재조정
도봉구,반려용품,1,5.31,0.4728311427183531,0.8902338776801342,0.2535691142219434,Low,고위험 권역 임시 차량 배치 및 권역 재조정
동대문구,생활용품,2,17.97,0.8434705679060619,0.7883425340044999,0.5272149613266114,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동작구,식품,1,16.87,0.6664991075849069,0.7946171301459244,0.5437854890019543,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
마포구,디지털,7,21.12,0.6691191785437868,0.8470454305254164,0.4444120449529772,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서대문구,패션,3,22.0,0.5726781324668133,0.8440916611081226,0.3699360662822824,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서초구,헬스케어,7,19.58,0.5547136407297144,0.784380268384459,0.4984761019802393,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성동구,반려용품,1,17.83,0.7439109647845146,0.7828911187011992,0.5817311841972048,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성북구,생활용품,8,17.79,0.5662765076018379,0.7852946610451297,0.5376367779528977,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
송파구,식품,8,10.59,0.4821044257827322,0.8454910872744622,0.37539326488314206,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
양천구,디지털,2,4.05,0.8337537079904491,0.8112163627015994,0.46556617975811154,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
영등포구,패션,1,13.41,0.6382347172031829,0.8898339509408016,0.38572230016976583,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
용산구,헬스케어,1,9.92,0.6401177919496522,0.8496389963753544,0.24441976687053338,Low,고위험 권역 임시 차량 배치 및 권역 재조정
은평구,반려용품,8,15.3,0.6656591407578957,0.8636473927976566,0.31024551182768695,Low,고위험 권역 임시 차량 배치 및 권역 재조정
종로구,생활용품,3,28.66,0.8575224117040469,0.7845880968070276,0.5581089219428702,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
중구,식품,5,10.57,0.6104184479699085,0.8593801801738826,0.2999913428013194,Low,고위험 권역 임시 차량 배치 및 권역 재조정
중랑구,디지털,4,4.78,0.829018105628918,0.8376675668186999,0.4580827137824735,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강남구,패션,7,10.74,0.9197724203897716,0.8291624832181124,0.47743620101794376,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강동구,헬스케어,5,10.44,0.7804340979623996,0.7934893040360956,0.5301588674118103,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강북구,반려용품,5,20.46,0.6658405405885123,0.8060042943981077,0.48166351570005245,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강서구,생활용품,9,17.47,0.8238948615733324,0.7616946415100286,0.617332062300967,High,고위험 권역 임시 차량 배치 및 권역 재조정
관악구,식품,2,20.85,0.6789486848756927,0.7949659919052207,0.5226807857766376,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
광진구,디지털,7,21.03,0.6572136355540704,0.8236602828548191,0.44220644737904474,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
구로구,패션,1,15.7,0.7126415817863416,0.8387798433025674,0.39274335619170453,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
금천구,헬스케어,5,28.84,0.6088611674046469,0.7734290420207087,0.6046284122032544,High,고위험 권역 임시 차량 배치 및 권역 재조정
노원구,반려용품,8,7.08,0.5021251081400006,0.8832630423056632,0.31943199711684,Low,고위험 권역 임시 차량 배치 및 권역 재조정
도봉구,생활용품,6,3.49,0.6574260027630826,0.8353246214532655,0.34305764455646565,Low,고위험 권역 임시 차량 배치 및 권역 재조정
동대문구,식품,6,4.71,0.5119284405646509,0.8927551571948891,0.1892330423441368,Low,고위험 권역 임시 차량 배치 및 권역 재조정
동작구,디지털,3,24.71,0.6552207367777233,0.75,0.5931565141806585,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
마포구,패션,4,14.94,0.728466860606725,0.8241329077765392,0.494842972087465,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서대문구,헬스케어,4,7.42,0.9153555906028233,0.8443831490005046,0.40178090532372746,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서초구,반려용품,5,18.19,0.4681111655226518,0.8643609364369904,0.35926975394761446,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성동구,생활용품,5,6.28,0.760729203250972,0.7823090842623007,0.48314557420122833,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성북구,식품,3,22.05,0.6788675933250387,0.890202331446355,0.35856180288927914,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
송파구,디지털,3,17.11,0.4601305641020696,0.8226518484409989,0.41477466684598263,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
양천구,패션,3,12.15,0.5747740879693601,0.9016104992854757,0.23358176244785558,Low,고위험 권역 임시 차량 배치 및 권역 재조정
영등포구,헬스케어,4,11.46,0.5092426261774008,0.8593608385701031,0.3935052989813266,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
용산구,반려용품,2,20.24,0.5583970728657224,0.8196451129502056,0.401757976953923,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
은평구,생활용품,8,13.99,0.5872851217304591,0.8867068481420902,0.23533332767901818,Low,고위험 권역 임시 차량 배치 및 권역 재조정
종로구,식품,6,5.72,0.6506531676910982,0.8138843226777486,0.48485460804076835,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
중구,디지털,2,5.56,0.7145196967444452,0.9191215612220536,0.3372225722492587,Low,고위험 권역 임시 차량 배치 및 권역 재조정
중랑구,패션,6,24.42,0.45049499696319306,0.8057290272389339,0.5151241931945904,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강남구,헬스케어,8,27.02,0.5309346803143704,0.8474656164724583,0.47046173297187455,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강동구,반려용품,3,22.01,0.49678319280440036,0.8083953939698101,0.5591944826686541,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강북구,생활용품,2,9.08,0.7248366996313718,0.8006928368576118,0.5333353253493675,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강서구,식품,1,31.6,0.6145374352006349,0.7515942055218541,0.5960625115586636,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
관악구,디지털,1,25.68,0.724198868017359,0.7996238316697372,0.5759178301332217,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
광진구,패션,7,22.46,0.5609116510873389,0.7791111895540694,0.4883617246084847,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
구로구,헬스케어,9,16.21,0.46211467704379244,0.8678958224115687,0.41177622874849457,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
금천구,반려용품,1,10.05,0.9206834506351234,0.7539314233727021,0.6573390936904656,High,고위험 권역 임시 차량 배치 및 권역 재조정
노원구,생활용품,7,4.93,0.504154060594497,0.8190680291868438,0.308364285334836,Low,고위험 권역 임시 차량 배치 및 권역 재조정
도봉구,식품,1,28.2,0.5134293739808584,0.825052472104152,0.4232497314148891,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동대문구,디지털,6,13.89,0.5232734132550703,0.9150442052131088,0.2229564320152857,Low,고위험 권역 임시 차량 배치 및 권역 재조정
동작구,패션,7,8.75,0.9406382619966362,0.7639514515991195,0.6037373455431008,High,고위험 권역 임시 차량 배치 및 권역 재조정
마포구,헬스케어,4,9.44,0.7588301200849981,0.7979993977424251,0.5608591956498465,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서대문구,반려용품,1,17.63,0.7551449758519253,0.819068098539625,0.4112326231603689,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서초구,생활용품,6,7.19,0.9433491007592647,0.75,0.6074758758622357,High,고위험 권역 임시 차량 배치 및 권역 재조정
성동구,식품,9,22.67,0.4942193846373274,0.784446836182973,0.5546407307316427,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성북구,디지털,3,25.49,0.9372504462711445,0.7895310523282858,0.5460007457643213,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
송파구,패션,2,25.72,0.5520065732770204,0.8321982442630792,0.4023830534733554,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
양천구,헬스케어,2,12.53,0.7615357517810177,0.8421261991792011,0.4640560678675509,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
영등포구,반려용품,5,17.67,0.6600417826513958,0.7913489053853354,0.49041984889109563,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
용산구,생활용품,6,20.83,0.6419759067385891,0.858950061851623,0.3637521437000684,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
은평구,식품,7,20.2,0.9156216642397312,0.75,0.75338483099711,High,고위험 권역 임시 차량 배치 및 권역 재조정
종로구,디지털,7,4.59,0.5246138642201282,0.8516653202283689,0.2777153163683123,Low,고위험 권역 임시 차량 배치 및 권역 재조정
중구,패션,8,14.48,0.9485345055381218,0.75,0.6783009743579593,High,고위험 권역 임시 차량 배치 및 권역 재조정
중랑구,헬스케어,7,3.26,0.6395625305457743,0.8407719173297731,0.39847515141485607,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강남구,반려용품,3,13.76,0.7743874519442772,0.8128017963120675,0.5909205818904908,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강동구,생활용품,5,12.77,0.9339533657416801,0.7752149997973345,0.6182011326875476,High,고위험 권역 임시 차량 배치 및 권역 재조정
강북구,식품,3,7.27,0.4788005251894874,0.8580799254397222,0.24973536587824308,Low,고위험 권역 임시 차량 배치 및 권역 재조정
강서구,디지털,3,6.37,0.9114321814625952,0.75,0.5108861053780187,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
관악구,패션,8,21.18,0.7339056926771717,0.8334668207755671,0.46055500309862996,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
광진구,헬스케어,6,7.9,0.802198439488726,0.8098533586971467,0.48063534755511245,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
구로구,반려용품,9,32.12,0.5245920919431741,0.8520999000678448,0.4306440552067502,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
금천구,생활용품,4,18.71,0.7166937154155161,0.7650616653185599,0.5637827893348892,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
노원구,식품,5,13.82,0.7867568573626218,0.8622957014543108,0.35631013857959937,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
도봉구,디지털,5,21.45,0.6781236536938409,0.8411253110729583,0.44513759482171117,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동대문구,패션,2,3.03,0.5274925890530283,0.9057216363256498,0.186654545457773,Low,고위험 권역 임시 차량 배치 및 권역 재조정
동작구,헬스케어,3,32.2,0.5720595375427883,0.7595609781822524,0.6054780297517894,High,고위험 권역 임시 차량 배치 및 권역 재조정
마포구,반려용품,5,14.23,0.8771963954967492,0.7710073724560159,0.5985653833312908,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서대문구,생활용품,1,27.27,0.4672354964163814,0.8677553499518125,0.3517090770839831,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서초구,식품,8,4.9,0.8044310392204062,0.8052856222708761,0.4983648503968161,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성동구,디지털,2,16.37,0.9496950182572634,0.7703055743341266,0.6547838640601803,High,고위험 권역 임시 차량 배치 및 권역 재조정
성북구,패션,2,17.79,0.4537414980533833,0.8472766308863823,0.3528133295093629,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
송파구,헬스케어,7,27.3,0.53052284140997,0.7673474712557355,0.5316703561000062,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
양천구,반려용품,2,17.15,0.7870721504465672,0.8316743021033213,0.536757729311264,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
영등포구,생활용품,8,17.56,0.47999541729267414,0.8741043301290262,0.26800855754321373,Low,고위험 권역 임시 차량 배치 및 권역 재조정
용산구,식품,7,10.82,0.7448949919279294,0.8097821488760998,0.45385431271298654,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
은평구,디지털,1,12.48,0.792000051780528,0.8487536291747787,0.37122944115365036,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
종로구,패션,6,14.34,0.744073174057035,0.7741698016721262,0.5919252014884382,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
중구,헬스케어,6,14.02,0.6325923515105336,0.8053524009155295,0.47689693209915673,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
중랑구,반려용품,7,3.12,0.7986411479933194,0.8057166798485288,0.49695612060711725,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강남구,생활용품,7,21.8,0.7471472140069102,0.7812076380883799,0.5657060493801617,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강동구,식품,7,29.93,0.5538185860469599,0.7792089421757331,0.583678412470523,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강북구,디지털,6,7.03,0.7315677717925548,0.75,0.5409716755827061,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강서구,패션,3,15.54,0.8909536085694637,0.8607507925623583,0.44819066736513924,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
관악구,헬스케어,6,5.12,0.7834166428452249,0.8697128908074261,0.3066895512053796,Low,고위험 권역 임시 차량 배치 및 권역 재조정
광진구,반려용품,8,24.31,0.6858957536969236,0.8010024056042196,0.5446001336706289,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
구로구,생활용품,6,11.48,0.6107920514347256,0.8324130416267734,0.34292837583584623,Low,고위험 권역 임시 차량 배치 및 권역 재조정
금천구,식품,6,17.45,0.49294310471878644,0.8501708286997576,0.3440261887864497,Low,고위험 권역 임시 차량 배치 및 권역 재조정
노원구,디지털,4,21.16,0.5723135663795144,0.851462666099893,0.3288314759248533,Low,고위험 권역 임시 차량 배치 및 권역 재조정
도봉구,패션,7,23.34,0.45559337654343846,0.8704160098940795,0.39708132970311827,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동대문구,헬스케어,9,5.03,0.9433129587624822,0.8417207877142734,0.36160840042574,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동작구,반려용품,2,25.19,0.5612411260643699,0.8633613913918496,0.37657202384843486,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
마포구,생활용품,2,10.25,0.8574379713426863,0.837957423797342,0.36866904899769737,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서대문구,식품,5,4.29,0.5343224409024893,0.8749335672010948,0.2743258685880752,Low,고위험 권역 임시 차량 배치 및 권역 재조정
서초구,디지털,5,17.6,0.5918005748027869,0.8076657636792859,0.4783520943334296,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성동구,패션,5,12.59,0.6591386596141834,0.8593163582779568,0.41817298359608346,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성북구,헬스케어,1,25.11,0.6122028320708025,0.7567154253292664,0.5299643471146608,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
송파구,반려용품,4,22.26,0.8491754063799305,0.75,0.6326874674110958,High,고위험 권역 임시 차량 배치 및 권역 재조정
양천구,생활용품,5,10.99,0.9288467040077115,0.7522546111703787,0.5394265300452142,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
영등포구,식품,6,28.89,0.8876472418254242,0.75,0.7319186166834623,High,고위험 권역 임시 차량 배치 및 권역 재조정
용산구,디지털,6,9.39,0.5267889334738782,0.8306669011598748,0.38028885090366554,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
은평구,패션,7,17.25,0.8383443381746452,0.75,0.6436290724319647,High,고위험 권역 임시 차량 배치 및 권역 재조정
종로구,헬스케어,6,9.51,0.5239734566523557,0.8769791064367662,0.2523941103741154,Low,고위험 권역 임시 차량 배치 및 권역 재조정
중구,반려용품,7,29.43,0.9066905532810506,0.75,0.6262348253750277,High,고위험 권역 임시 차량 배치 및 권역 재조정
중랑구,생활용품,6,8.37,0.7089392878342892,0.7905943171370248,0.4829883096789188,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강남구,식품,5,3.92,0.6181905440283534,0.8686714258062931,0.38667709197688843,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강동구,디지털,6,12.96,0.5285127486670964,0.8122053205163783,0.5024755453978393,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
강북구,패션,2,28.23,0.4559045440895023,0.7646601696350388,0.6259690965954622,High,고위험 권역 임시 차량 배치 및 권역 재조정
강서구,헬스케어,3,30.77,0.5739734958304423,0.8288538157357621,0.3745446089675873,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
관악구,반려용품,5,23.77,0.907010031640656,0.75,0.73420159274752,High,고위험 권역 임시 차량 배치 및 권역 재조정
광진구,생활용품,8,25.99,0.8486310961361136,0.75,0.613172091820066,High,고위험 권역 임시 차량 배치 및 권역 재조정
구로구,식품,6,28.25,0.9348968538753597,0.75,0.7435505983198865,High,고위험 권역 임시 차량 배치 및 권역 재조정
금천구,디지털,2,14.67,0.5003807605606865,0.9096413673128712,0.25063476651903516,Low,고위험 권역 임시 차량 배치 및 권역 재조정
노원구,패션,6,13.04,0.7460893717528347,0.852520497773251,0.41579100162701527,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
도봉구,헬스케어,3,26.33,0.5785752370153883,0.8011116929548998,0.5471444408421912,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동대문구,반려용품,7,20.5,0.7214708528862037,0.7750464932158292,0.5434353414366053,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
동작구,생활용품,7,12.2,0.6102274427817276,0.8385107918590738,0.4056577279685881,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
마포구,식품,6,6.01,0.5917327751216788,0.8880312284001439,0.24440548856888897,Low,고위험 권역 임시 차량 배치 및 권역 재조정
서대문구,디지털,6,23.87,0.7369226510122987,0.7863397764361887,0.5418183665540464,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
서초구,패션,4,8.69,0.5416590809347701,0.8843960998424014,0.3895613088479851,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
성동구,헬스케어,4,32.74,0.6845667184860584,0.75,0.6861949070325893,High,고위험 권역 임시 차량 배치 및 권역 재조정
성북구,반려용품,8,10.52,0.7754061325220174,0.8363008232045592,0.3971589727914156,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
송파구,생활용품,7,5.18,0.514091036591402,0.9000290416917328,0.2977312470062581,Low,고위험 권역 임시 차량 배치 및 권역 재조정
양천구,식품,5,23.56,0.915297135438452,0.75,0.5805897164336887,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
영등포구,디지털,4,6.45,0.7028623497270623,0.8444391048166304,0.3505312762229846,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
용산구,패션,1,6.88,0.8597639859421711,0.8208643664386511,0.4244424674571314,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
은평구,헬스케어,2,17.31,0.7769527153105316,0.7782957863045105,0.5635383407268856,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
종로구,반려용품,2,28.18,0.8050004706112728,0.75,0.6998580095199204,High,고위험 권역 임시 차량 배치 및 권역 재조정
중구,생활용품,4,8.15,0.808065470496419,0.7905310041223998,0.5753563345267456,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
중랑구,식품,8,11.86,0.8875499485307363,0.7890384722322605,0.5836779240514355,Medium,고위험 권역 임시 차량 배치 및 권역 재조정
