warehouse_id,region_name,product_category,forecast_demand,available_inventory,safety_stock,stockout_gap,stockout_risk_score,reorder_priority,business_action
WH-01,강남구,생활용품,568,2699,1136,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,513,3694,1026,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,571,1938,1142,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,503,2207,1006,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,535,4894,1070,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,479,4648,958,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,501,5866,1002,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,498,2954,996,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,532,3370,1064,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,506,3656,1012,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,469,2207,938,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,512,2135,1024,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,497,3619,994,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,502,2531,1004,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,577,5209,1154,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,526,3647,1052,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,522,5478,1044,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,503,4679,1006,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,528,3068,1056,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,532,5581,1064,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,503,5152,1006,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,500,3244,1000,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,544,3044,1088,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,547,5001,1094,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,509,2167,1018,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,555,2664,1110,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,519,1591,1038,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,523,5273,1046,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,518,4654,1036,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,512,4785,1024,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,521,5224,1042,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,505,3601,1010,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,505,4100,1010,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,544,2316,1088,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,518,2088,1036,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,479,4318,958,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,535,3873,1070,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,507,4100,1014,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,491,4854,982,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,474,4130,948,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,465,3712,930,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,503,4041,1006,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,532,3051,1064,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,523,1714,1046,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,533,3694,1066,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,516,2545,1032,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,543,3625,1086,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,498,5319,996,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,470,2400,940,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,494,1741,988,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,523,2893,1046,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,522,2945,1044,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,512,4586,1024,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,515,4127,1030,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,522,5249,1044,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,471,4229,942,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,556,3702,1112,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,483,4988,966,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,555,2499,1110,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,520,1666,1040,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,509,1940,1018,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,471,4475,942,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,530,3793,1060,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,627,2791,1254,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,561,4213,1122,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,519,2268,1038,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,488,4522,976,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,549,3851,1098,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,458,2945,916,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,572,3268,1144,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,522,4527,1044,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,448,2803,896,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,534,2023,1068,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,534,2169,1068,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,559,6516,1118,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,494,5522,988,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,568,5281,1136,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,533,2874,1066,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,543,6365,1086,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,462,4624,924,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,513,4849,1026,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,490,3452,980,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,489,2665,978,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,553,2139,1106,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,513,5706,1026,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,546,3878,1092,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,558,2690,1116,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,543,3124,1086,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,530,4353,1060,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,447,2052,894,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,576,6169,1152,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,488,4795,976,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,511,4842,1022,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,502,3458,1004,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,550,4755,1100,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,550,4541,1100,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,521,4610,1042,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,503,1891,1006,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,471,3176,942,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,516,1741,1032,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,479,3567,958,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,539,3217,1078,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,515,2215,1030,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,490,1926,980,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,534,4426,1068,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,512,2322,1024,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,535,6059,1070,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,554,4559,1108,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,533,3263,1066,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,513,4267,1026,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,511,1638,1022,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,472,5488,944,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,536,3935,1072,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,520,5223,1040,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,517,1936,1034,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,517,3815,1034,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,515,3819,1030,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,452,5171,904,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,538,4382,1076,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,453,3289,906,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,516,2788,1032,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,533,3190,1066,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,511,3928,1022,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,495,3440,990,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,499,1594,998,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,407,4248,814,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,481,5322,962,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,569,2425,1138,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,571,4560,1142,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,520,2068,1040,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,560,5068,1120,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,527,2915,1054,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,549,4905,1098,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,490,4676,980,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,573,5683,1146,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,461,1830,922,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,567,6375,1134,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,491,2490,982,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,553,1845,1106,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,507,4053,1014,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,516,3271,1032,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,491,5140,982,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,484,4973,968,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,490,2869,980,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,525,6077,1050,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,529,2972,1058,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,529,4039,1058,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,512,2715,1024,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,511,5838,1022,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,516,2312,1032,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,487,1658,974,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,511,3534,1022,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,501,5978,1002,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,503,5546,1006,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,534,5200,1068,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,553,6092,1106,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,530,5852,1060,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,473,3628,946,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,513,2998,1026,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,538,5352,1076,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,492,4406,984,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,520,3309,1040,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,519,1998,1038,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,509,4948,1018,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,557,2987,1114,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,462,5281,924,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,536,2770,1072,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,515,2114,1030,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,504,5282,1008,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,536,2347,1072,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,541,2496,1082,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,536,4499,1072,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,522,5675,1044,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,483,2303,966,0,0.0,Low,리오더 우선순위 반영 발주
WH-01,강남구,생활용품,416,2410,832,0,0.0,Low,리오더 우선순위 반영 발주
